decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
bposd,5,1,0.07142857142857144,0.025906735751295335,0.0012705315496288083,15633,405,2.259800581998954e-05
bposd,5,1,0.12285714285714287,0.09315632867933166,0.004397252182686529,4369,407,3.695802815536631e-05
bposd,5,1,0.09714285714285716,0.05402499664023653,0.0026207256078741047,7441,402,2.884042265840869e-05
bposd,5,1,0.13571428571428573,0.11764705882352941,0.0048743945958977224,4369,514,3.916997642856222e-05
bposd,5,1,0.04571428571428572,0.00997289164117486,0.0004955328580298764,40209,401,1.8340130195279725e-05
bposd,5,1,0.02,0.0012652928901241058,6.30671364377049e-05,317713,402,1.291644317356707e-05
bposd,5,1,0.03285714285714286,0.0041882623946390245,0.0002089741210420613,95505,400,1.4586245086516829e-05
bposd,7,1,0.02,0.0002795636849568878,1.3976230214917016e-05,1430801,400,2.4334892050575783e-05
bposd,5,1,0.0842857142857143,0.038523732521639875,0.001877025322442448,10513,405,2.6505866070360774e-05
bposd,5,1,0.11000000000000001,0.07769330613758577,0.0036451404906973624,5393,419,3.335977990013003e-05
bposd,5,1,0.18714285714285714,0.2055148642826368,0.008387391925872612,2321,477,5.4642270144214794e-05
bposd,5,1,0.14857142857142858,0.13303437967115098,0.005871983428633582,3345,445,4.3818049031634845e-05
bposd,5,1,0.16142857142857145,0.16711509715994022,0.00645063215083146,3345,559,5.0256689089024646e-05
bposd,5,1,0.1742857142857143,0.17233950883239982,0.007839366476345866,2321,400,5.186807109062162e-05
bposd,5,1,0.2,0.22619560534252478,0.008684005846776956,2321,525,5.0503644123308294e-05
bposd,5,1,0.05857142857142858,0.017292759706190975,0.0008445546873058982,23825,412,2.074492474447922e-05
bposd,7,1,0.03285714285714286,0.0014022498942193036,6.997590456664759e-05,285969,401,3.0896533963587115e-05
bposd,7,1,0.04571428571428572,0.004498606774767516,0.00022386486754498444,89361,402,3.931009945023395e-05
bposd,7,1,0.05857142857142858,0.009096038821803409,0.0004510405254193962,44305,403,4.813871840679965e-05
bposd,7,1,0.07142857142857144,0.017937809745186616,0.0008789764813101528,22801,409,5.441559940343641e-05
bposd,7,1,0.0842857142857143,0.027996440550345676,0.0013648191030266074,14609,409,6.268636059873809e-05
bposd,7,1,0.11000000000000001,0.054696949334766834,0.0026360365628500435,7441,407,8.174231743048028e-05
bposd,7,1,0.09714285714285716,0.040521259393132315,0.001923073190145603,10513,426,7.374059478732383e-05
bposd,7,1,0.12285714285714287,0.08010383830891897,0.0036964161282309767,5393,432,8.691545373614412e-05
bposd,7,1,0.13571428571428573,0.11238269626916915,0.0047782798482487975,4369,491,0.00010004564362437565
bposd,7,1,0.14857142857142858,0.12197309417040358,0.005658324778864284,3345,408,0.00010069118056502695
bposd,7,1,0.16142857142857145,0.15635276532137518,0.00627964605597014,3345,523,0.00010624304962374398
bposd,7,1,0.1742857142857143,0.1925894011202068,0.008185134950918178,2321,447,0.00010156918655629445
bposd,7,1,0.18714285714285714,0.2111158983196898,0.008470898958604905,2321,490,0.00010841810297025231
bposd,9,1,0.02,9.13258481146121e-05,4.5660838907064475e-06,4379921,400,4.1272402419548646e-05
bposd,7,1,0.2,0.25032313657906075,0.008991869175888593,2321,581,0.00011095271434788707
bposd,9,1,0.03285714285714286,0.0006359209486668712,3.178593593923635e-05,629009,400,6.20660572153887e-05
bposd,9,1,0.04571428571428572,0.002148509705798833,0.00010717613434751874,186641,401,7.97569563062192e-05
bposd,9,1,0.05857142857142858,0.006205140078721926,0.0003085225672544755,64785,402,9.908165085995066e-05
bposd,9,1,0.07142857142857144,0.011187107135934429,0.0005534573698342453,36113,404,0.0001155042701244299
bposd,9,1,0.0842857142857143,0.024150217747864938,0.0011545123902588087,17681,427,0.00013105790113683346
bposd,9,1,0.09714285714285716,0.038138164167461214,0.0017831578602866324,11537,440,0.00014716559010092753
bposd,9,1,0.11000000000000001,0.060475742507727456,0.0027633058163222595,7441,450,0.00015977198965272065
bposd,9,1,0.12285714285714287,0.07973298720563694,0.0036885929763488625,5393,430,0.0001733795661019898
bposd,9,1,0.13571428571428573,0.10505836575875487,0.004638970966006399,4369,459,0.00018019517211985436
bposd,9,1,0.14857142857142858,0.13632286995515694,0.00593283143312326,3345,456,0.00019677747921932555
bposd,9,1,0.16142857142857145,0.17621714778112882,0.00790847757133718,2321,409,0.00019717652261684913
bposd,9,1,0.1742857142857143,0.21800947867298578,0.008570395471380226,2321,506,0.0001989113886304509
