decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
bposd,5,1,0.02,0.0027663181883704,0.0001376093927509,145681,403,8.509459626896838e-06
bposd,5,1,0.0328571428571428,0.0095605461816977,0.0004733757291818,42257,404,8.360802042494281e-06
bposd,5,1,0.0457142857142857,0.021339145420447,0.001028850051792,19729,421,9.322735619324286e-06
bposd,5,1,0.0585714285714285,0.0423648435030034,0.0020677242475516,9489,402,1.0222999463151304e-05
bposd,5,1,0.0714285714285714,0.068100358422939,0.0031448015983481,6417,437,1.1252227191561774e-05
bposd,5,1,0.0842857142857143,0.0940718699931334,0.0044165763119552,4369,411,1.1922665392589034e-05
bposd,5,1,0.0971428571428571,0.1112382696269169,0.0047569519303816,4369,486,1.352573998620306e-05
bposd,5,1,0.11,0.16203288490284,0.0063711379547093,3345,542,1.3859080995039066e-05
bposd,5,1,0.1228571428571428,0.1921585523481258,0.0081781553249231,2321,446,1.7409234404811078e-05
bposd,5,1,0.1357142857142857,0.2115467470917708,0.0084772224627888,2321,491,1.6432733732231126e-05
bposd,5,1,0.1485714285714285,0.2542007755277897,0.0090377813247954,2321,590,1.7435821637957454e-05
bposd,5,1,0.1614285714285714,0.2938388625592417,0.0094551615471813,2321,682,1.822517239213799e-05
bposd,5,1,0.1742857142857143,0.3284502698535081,0.0130407903466617,1297,426,2.1144435602780964e-05
bposd,5,1,0.1871428571428571,0.3438704703161141,0.0131893151412092,1297,446,2.1596247505873396e-05
bposd,5,1,0.2,0.369313801079414,0.0134009147494908,1297,479,2.047105469010661e-05
bposd,7,1,0.02,0.0006790329891201,3.3940120353509274e-05,589073,400,1.2860292803530278e-05
bposd,7,1,0.0328571428571428,0.0043274588080014,0.0002159042603085,92433,400,1.4127938553290948e-05
bposd,7,1,0.0457142857142857,0.0141993435826567,0.0006954115643939,28945,411,1.5717130178905154e-05
bposd,7,1,0.0585714285714285,0.0282702443699089,0.0013712836173459,14609,413,1.8161484357953893e-05
bposd,7,1,0.0714285714285714,0.0498523331364441,0.002365510151594,8465,422,2.1820806735071447e-05
bposd,7,1,0.0842857142857143,0.080845540515483,0.0037119923597361,5393,436,2.279917653577515e-05
bposd,7,1,0.0971428571428571,0.116960402838178,0.0048620396327338,4369,511,2.6413547950009137e-05
bposd,7,1,0.11,0.1452914798206278,0.0060929979100019,3345,486,2.748797966448537e-05
bposd,7,1,0.1228571428571428,0.1990521327014218,0.0082879662136634,2321,462,3.436431879573331e-05
bposd,7,1,0.1357142857142857,0.2279190004308487,0.0087073124338414,2321,529,3.165025847856853e-05
bposd,7,1,0.1485714285714285,0.2688496337785437,0.0092028110506886,2321,624,3.511720853193612e-05
bposd,7,1,0.1614285714285714,0.3149504523912106,0.0096414985429282,2321,731,3.494178112483921e-05
bposd,7,1,0.1742857142857143,0.3600616808018504,0.0133286916920043,1297,467,3.56099013247762e-05
bposd,7,1,0.1871428571428571,0.3855050115651503,0.0135146311994038,1297,500,3.650478716026317e-05
bposd,7,1,0.2,0.3955281418658442,0.0135770916538832,1297,513,3.606017043314294e-05
bposd,9,1,0.02,0.0002399437757552,1.112579113890714e-05,1937954,465,1.8798942340265348e-05
bposd,9,1,0.0328571428571428,0.0022201288005244,0.0001104696598755,181521,403,2.3615978063394177e-05
bposd,9,1,0.0457142857142857,0.0081942336874051,0.000405503071449,49425,405,2.7912761801717164e-05
bposd,9,1,0.0585714285714285,0.0220261962042234,0.0010731353630138,18705,412,3.162017279443727e-05
bposd,9,1,0.0714285714285714,0.0479621972829297,0.0023225397252821,8465,406,3.764065765328507e-05
bposd,9,1,0.0842857142857143,0.0743556462080474,0.0035724309579331,5393,401,4.194250267771626e-05
bposd,9,1,0.0971428571428571,0.1185626001373311,0.0048907850063183,4369,518,4.817520212411921e-05
bposd,9,1,0.11,0.1665171898355754,0.0064413930320061,3345,557,4.738138982349581e-05
bposd,9,1,0.1228571428571428,0.2089616544592848,0.0084390682081016,2321,485,5.209794617508799e-05
bposd,9,1,0.1357142857142857,0.2533390779836277,0.0090276608191962,2321,588,5.305814604427006e-05
bposd,9,1,0.1485714285714285,0.2912537699267557,0.0094306925886443,2321,676,5.867343427748201e-05
bposd,9,1,0.1614285714285714,0.3299922898997687,0.0130563507503561,1297,428,5.322571317166228e-05
