decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
bposd,5,1,0.07158702317347154,0.06465084399955369,0.000981775307547548,62737,4056,1.17355017019256e-05
bposd,5,1,0.10462718771507382,0.14202798410779063,0.002051808128177352,28945,4111,1.3954828093193586e-05
bposd,5,1,0.08260041135400564,0.08814963432787522,0.001316840339947292,46353,4086,1.3033095676106903e-05
bposd,7,1,0.0660803290832045,0.03978396245905026,0.0006130373576047996,101649,4044,2.28252790225723e-05
bposd,5,1,0.09912049362480677,0.12649529937220852,0.0018577167581514385,32017,4050,1.3593813446415409e-05
bposd,7,1,0.07158702317347154,0.049932856139659226,0.000764496067792043,81169,4053,2.300493056492815e-05
bposd,7,1,0.09912049362480677,0.1237855997094519,0.001811814221464439,33041,4090,2.7425845802435294e-05
bposd,7,1,0.09361379953453972,0.10819398443600722,0.0016118823777614636,37137,4018,2.593102218509948e-05
bposd,7,1,0.07709371726373859,0.06282837471181443,0.00096097019555098,63761,4006,2.3965844377962734e-05
bposd,5,1,0.11013388180534085,0.15869825687009623,0.002271635141052462,25873,4106,1.538674333712158e-05
bposd,7,1,0.08810710544427268,0.09188579167136891,0.0013723599822964803,44305,4071,2.5942529050446017e-05
bposd,5,1,0.09361379953453972,0.11419533187038673,0.00169788261726523,35089,4007,1.3362727643117597e-05
bposd,7,1,0.08260041135400564,0.07735680134102901,0.0011660009417777972,52497,4061,2.5671288386750975e-05
bposd,5,1,0.0660803290832045,0.05328143696827046,0.0008144260510760887,76049,4052,1.1710826256455651e-05
bposd,5,1,0.08810710544427268,0.10022631749110895,0.0014976002156321237,40209,4030,1.2693823667243077e-05
bposd,5,1,0.07709371726373859,0.07593281141981652,0.0011449971487685565,53521,4064,1.298616577469301e-05
bposd,7,1,0.11013388180534085,0.15692034166892127,0.002261260173093359,25873,4060,2.889250056620222e-05
bposd,7,1,0.10462718771507382,0.13929866989117293,0.0020352274188207256,28945,4032,2.923033191034328e-05
bposd,9,1,0.0660803290832045,0.03306340017522456,0.0005116386634983754,122129,4038,3.6739156321416466e-05
bposd,9,1,0.07158702317347154,0.04537773749174696,0.0006962467617029039,89361,4055,4.142131824932454e-05
bposd,9,1,0.07709371726373859,0.05759244689221086,0.000881146304863186,69905,4026,4.098684167833534e-05
bposd,9,1,0.08260041135400564,0.0740122834356953,0.0011209262546944291,54545,4037,4.3079021177811666e-05
bposd,9,1,0.08810710544427268,0.08715724980044441,0.0013101192281727105,46353,4040,4.476781799903708e-05
bposd,9,1,0.09361379953453972,0.10241163710603547,0.0015316281350054297,39185,4013,4.572280732475348e-05
bposd,9,1,0.09912049362480677,0.12324082200901909,0.0018083848587425713,33041,4072,4.9646869239221094e-05
bposd,9,1,0.10462718771507382,0.1399896355156331,0.002039449739869109,28945,4052,4.997872831137414e-05
bposd,9,1,0.11013388180534085,0.1646746347941567,0.002352809315798632,24849,4092,4.910133221675839e-05
bposd,11,1,0.0660803290832045,0.029754653317680763,0.0004616822264744162,135441,4030,6.094426081082255e-05
bposd,11,1,0.07158702317347154,0.04150048172051922,0.0006419387834261859,96529,4006,6.474800403004561e-05
bposd,11,1,0.07709371726373859,0.054593856839772435,0.0008351458050933794,74001,4040,6.704147579480034e-05
bposd,11,1,0.08260041135400564,0.07161663103210644,0.0010839001123241596,56593,4053,6.980978360206504e-05
bposd,11,1,0.08810710544427268,0.0876750156408431,0.0013136322034759678,46353,4064,7.1644908918746e-05
bposd,11,1,0.09361379953453972,0.10838247569809085,0.0016131153452049758,37137,4025,7.3907162560447e-05
bposd,11,1,0.09912049362480677,0.12833807040009995,0.0018692245390774824,32017,4109,7.628448550314876e-05
bposd,11,1,0.10462718771507382,0.15083466557608655,0.002182201194582112,26897,4057,7.859578989326359e-05
bposd,11,1,0.11013388180534085,0.17477439664218258,0.0024604174474167433,23825,4164,8.065391403250592e-05
bposd,13,1,0.0660803290832045,0.027665443082602294,0.0004312279962860308,144657,4002,9.178349396354537e-05
bposd,13,1,0.07158702317347154,0.040501601389544284,0.0006246350862851294,99601,4034,9.72624396684219e-05
bposd,13,1,0.07709371726373859,0.05567523244340055,0.0008548053991705841,71953,4006,0.00010085160624933626
bposd,13,1,0.08260041135400564,0.06870619532409065,0.0010445773940856464,58641,4029,0.00010311127523393338
bposd,13,1,0.08810710544427268,0.09170522514388896,0.0013711471906975089,44305,4063,0.00010744766009541205
bposd,13,1,0.09361379953453972,0.10948649594743787,0.0016203063138264255,37137,4066,0.00010851069907707583
bposd,13,1,0.09912049362480677,0.13740865561079782,0.0019887192034087433,29969,4118,0.00011131411213122614
bposd,13,1,0.10462718771507382,0.16012831909712827,0.0022799070789848394,25873,4143,0.00011407698502233022
bposd,13,1,0.11013388180534085,0.18638930982228957,0.002638880947992594,21777,4059,0.00011513067681539773
bposd,15,1,0.0660803290832045,0.025820768209542013,0.00040165364005387256,155921,4026,0.00013597888884947086
bposd,15,1,0.07158702317347154,0.038795722152039115,0.0005996760048456096,103697,4023,0.00014181084158150584
bposd,15,1,0.07709371726373859,0.05335554815061646,0.0008205031220564701,75025,4003,0.00014243351773820354
bposd,15,1,0.08260041135400564,0.07048267004529914,0.0010663372944413544,57617,4061,0.00014810058591060695
bposd,15,1,0.08810710544427268,0.09166008351201896,0.0013708437412683393,44305,4061,0.00015123853597745018
bposd,15,1,0.09361379953453972,0.11613326113596854,0.001710354799356486,35089,4075,0.00015314346738241937
bposd,15,1,0.10462718771507382,0.16737092035896817,0.0023681615819718684,24849,4159,0.0001563454817175773
bposd,15,1,0.09912049362480677,0.14455069660828768,0.002104465200531837,27921,4036,0.00015703302768813014
bposd,15,1,0.11013388180534085,0.20294997212225657,0.0028634180102627134,19729,4004,0.00015830233625925455
bposd,17,1,0.0660803290832045,0.02455714364549418,0.00038324589050296926,163089,4005,0.0001913506267387075
bposd,17,1,0.07158702317347154,0.036671188354075436,0.000567110290200916,109841,4028,0.0001946699467841904
bposd,17,1,0.07709371726373859,0.0513335979615094,0.0007896605404744305,78097,4009,0.00020059838087437633
bposd,17,1,0.08260041135400564,0.0706041619660864,0.0010671861789186955,57617,4068,0.00020274374330176158
bposd,17,1,0.08810710544427268,0.09536881463426178,0.0014288598702794607,42257,4030,0.0002036927985999594
bposd,17,1,0.09361379953453972,0.12003522677234699,0.001760892344688735,34065,4089,0.0002103369954338361
bposd,17,1,0.09912049362480677,0.15068595010595978,0.0021813161417583928,26897,4053,0.00020741704936931275
bposd,17,1,0.10462718771507382,0.18095697557124688,0.002549553180168232,22801,4126,0.00021415748405831703
bposd,17,1,0.11013388180534085,0.21242840488620812,0.0029120496795018336,19729,4191,0.00021625060398566657
bposd,19,1,0.0660803290832045,0.021798909620104695,0.00030435715340410653,230195,5018,0.0002579337433122747
bposd,19,1,0.07158702317347154,0.034317786080164996,0.0005292652278316176,118306,4060,0.00026747924445715037
bposd,19,1,0.07709371726373859,0.050271383118098444,0.0007718305465787178,80145,4029,0.00026727070044420514
bposd,19,1,0.08260041135400564,0.06884261864565748,0.0010455373507906177,58641,4037,0.0002721785866377304
bposd,19,1,0.08810710544427268,0.09626807392857988,0.0014348669193316775,42257,4068,0.00027618417158209094
bposd,19,1,0.09361379953453972,0.12324082200901909,0.0018083848587425713,33041,4072,0.00027794072902974636
bposd,19,1,0.09912049362480677,0.15444101572666097,0.0022034406505224272,26897,4154,0.0002729350905273681
bposd,19,1,0.10462718771507382,0.18034296741370992,0.0025461778932099797,22801,4112,0.0002782585978624651
bposd,19,1,0.11013388180534085,0.22036888532477947,0.003030685441912621,18705,4122,0.00028934116560922954
bposd,21,1,0.0660803290832045,0.020366389529921286,0.00028078485383947977,253064,5154,0.00033683799373946885
bposd,21,1,0.07158702317347154,0.03352088878970942,0.00050813268002392,125474,4206,0.0003477302388831655
bposd,21,1,0.07709371726373859,0.048501013549557236,0.0007016818833519465,93730,4546,0.00035120102779088834
bposd,21,1,0.08260041135400564,0.07006612631688564,0.0010634198600608083,57617,4037,0.0003538502474815466
bposd,21,1,0.08810710544427268,0.09515583216981802,0.0014274314818896496,42257,4021,0.0003550513021630387
bposd,21,1,0.09361379953453972,0.12505856263859824,0.0018486550906454194,32017,4004,0.00036618609388782737
bposd,21,1,0.09912049362480677,0.16270272445571252,0.002341438707536842,24849,4043,0.00036255719705902964
bposd,21,1,0.10462718771507382,0.19286403085824494,0.0026736216226560536,21777,4200,0.0003650597628607505
bposd,21,1,0.11013388180534085,0.22691024263333523,0.003149840753396258,17681,4012,0.00037475216553797374
bposd,23,1,0.0660803290832045,0.017967130020735734,0.00026029462505889505,260420,4679,0.00043734581267725677
bposd,23,1,0.07158702317347154,0.030269650472178205,0.0004348406913540631,155238,4699,0.00044646630792858445
bposd,23,1,0.07709371726373859,0.04806806719003553,0.0007083115679231395,91204,4384,0.00045228738319737146
bposd,23,1,0.08260041135400564,0.07213250011459305,0.0010112463485236545,65449,4721,0.0004595057449110996
bposd,23,1,0.08810710544427268,0.09829279800969416,0.001378730993403312,46626,4583,0.000459958699788663
bposd,23,1,0.09361379953453972,0.12902520535965267,0.0018734829928724519,32017,4131,0.0004595837341887968
bposd,23,1,0.09912049362480677,0.16479536399855124,0.0023535015308338977,24849,4095,0.00046439313618646533
bposd,23,1,0.10462718771507382,0.19452609261311618,0.0027477310843978912,20753,4037,0.0004752673729191497
bposd,23,1,0.11013388180534085,0.24242060395029116,0.0033204767898880275,16657,4038,0.00046223088398747095
