decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
bposd_ms_osd_0_o0,7,1,0.02357142857142857,0.0012697558452916024,7.301983548026167e-05,237841,302,1.8499047767407858e-05
bposd_ms_osd_e_o5,7,1,0.01,0.000115,1.072318865823035e-05,1000000,115,1.5134800430765608e-05
bposd_ps_osd_0_o0,7,1,0.01,0.000169,1.2998901453584452e-05,1000000,169,1.8754384381085402e-05
bposd_ms_osd_e_o5,7,1,0.02357142857142857,0.0011044313467067697,6.372915211820032e-05,271633,300,2.0207582966396004e-05
bposd_ps_osd_cs_o5,7,1,0.01,3.8e-05,6.164296877990222e-06,1000000,38,1.9687207834038418e-05
bposd_ps_osd_cs_o20,7,1,0.01,2.6e-05,5.098953225908235e-06,1000000,26,2.1155545297311618e-05
bposd_ms_osd_cs_o5,7,1,0.02357142857142857,0.00052857009456119,3.0508942382941932e-05,567569,300,2.102084740617968e-05
bposd_ps_osd_0_o0,7,1,0.02357142857142857,0.0014751358742262888,8.496268310496039e-05,204049,301,2.7819049776845768e-05
bposd_ms_osd_cs_o10,7,1,0.01,2.9e-05,5.3850867216786774e-06,1000000,29,1.5823600062256446e-05
bposd_ms_osd_cs_o10,7,1,0.02357142857142857,0.0005440745580975828,3.135140394800107e-05,553233,301,2.2274266971136804e-05
bposd_ps_osd_e_o5,7,1,0.01,0.000141,1.1873504916409477e-05,1000000,141,1.9192287931451575e-05
bposd_ms_osd_cs_o20,7,1,0.02357142857142857,0.00046631278707380953,2.691630341044684e-05,643345,300,2.6502380925016324e-05
bposd_ps_osd_cs_o10,7,1,0.01,3.3e-05,5.74446786047237e-06,1000000,33,1.9698377964203247e-05
bposd_ms_osd_0_o0,7,1,0.01,0.000126,1.1224264964798364e-05,1000000,126,1.5081012913433369e-05
bposd_ms_osd_cs_o5,7,1,0.01,3.7e-05,6.082649998150477e-06,1000000,37,1.5434684556443244e-05
bposd_ms_osd_cs_o20,7,1,0.01,3.6e-05,5.999891999027983e-06,1000000,36,1.6859060215210773e-05
bposd_ps_osd_e_o5,7,1,0.02357142857142857,0.0014628937012673535,8.439840645941607e-05,205073,300,2.9144206619402656e-05
bposd_ps_osd_cs_o5,7,1,0.02357142857142857,0.0005844569518232135,3.3733775553396396e-05,513297,300,3.16907123469342e-05
bposd_ps_osd_cs_o10,7,1,0.02357142857142857,0.0005631127370469992,3.250217397106681e-05,532753,300,3.300285068759798e-05
bposd_ps_osd_cs_o20,7,1,0.02357142857142857,0.0004462026900045037,2.4899048701405478e-05,719404,321,3.7454805000382025e-05
bposd_ms_osd_0_o0,7,1,0.037142857142857144,0.004427926423832406,0.00025298037331967664,68881,305,2.4400860455252592e-05
bposd_ms_osd_e_o5,7,1,0.037142857142857144,0.00413829014621045,0.00023763859861453116,72977,302,2.7379941119542987e-05
bposd_ms_osd_cs_o5,7,1,0.037142857142857144,0.002338761859471596,0.00013487048675483903,128273,300,3.229229067690163e-05
bposd_ms_osd_cs_o10,7,1,0.037142857142857144,0.002214986599331074,0.00012774060362155974,135441,300,3.41806862978977e-05
bposd_ms_osd_cs_o20,7,1,0.037142857142857144,0.0018408957411119252,0.00010548538379905314,165137,304,4.3267760234384875e-05
bposd_ps_osd_0_o0,7,1,0.037142857142857144,0.005241508582536404,0.0003008234289636199,57617,302,4.567663609400004e-05
bposd_ps_osd_e_o5,7,1,0.037142857142857144,0.004829685831327606,0.0002767873725427024,62737,303,4.730357022242554e-05
bposd_ps_osd_cs_o5,7,1,0.037142857142857144,0.002320239448711107,0.0001338035881996434,129297,300,4.900070220492815e-05
bposd_ps_osd_cs_o10,7,1,0.037142857142857144,0.0023777412237961223,0.0001359871064615935,128273,305,5.2679817296415185e-05
bposd_ps_osd_cs_o20,7,1,0.037142857142857144,0.002346557732336501,0.00013509455606332024,128273,301,6.056400604942412e-05
bposd_ms_osd_0_o0,7,1,0.05071428571428572,0.010744600838078865,0.0006169981663306974,27921,300,3.2412277783420405e-05
bposd_ms_osd_e_o5,7,1,0.05071428571428572,0.009679605072113058,0.0005561409477600083,30993,300,3.717026147906589e-05
bposd_ms_osd_cs_o5,7,1,0.05071428571428572,0.006069802731411229,0.00034937505377250806,49425,300,4.0633319776983846e-05
bposd_ms_osd_cs_o10,7,1,0.05071428571428572,0.005506667386492469,0.00031392728908331786,55569,306,4.5081154403326466e-05
bposd_ms_osd_cs_o20,7,1,0.05071428571428572,0.0059254366366833094,0.00033828280204500883,51473,305,5.975538051152141e-05
bposd_ps_osd_0_o0,7,1,0.05071428571428572,0.012113163507585819,0.0006939496019447011,24849,301,5.801811094865319e-05
bposd_ps_osd_e_o5,7,1,0.05071428571428572,0.010995308190967373,0.0006240758760525038,27921,307,6.114134081710197e-05
bposd_ps_osd_cs_o5,7,1,0.05071428571428572,0.006239540505361459,0.0003579233184226658,48401,302,6.62177373617792e-05
bposd_ps_osd_cs_o10,7,1,0.05071428571428572,0.005983719619994949,0.000339932451297763,51473,308,6.833791910438324e-05
bposd_ps_osd_cs_o20,7,1,0.05071428571428572,0.0051670333043433775,0.00029607042751179664,58641,303,8.497159908741415e-05
bposd_ms_osd_0_o0,7,1,0.06428571428571428,0.019637945371969553,0.001109737103051968,15633,307,3.702426226675877e-05
bposd_ms_osd_e_o5,7,1,0.06428571428571428,0.020213650610887226,0.0011255554771240457,15633,316,4.286813420056618e-05
bposd_ms_osd_cs_o5,7,1,0.06428571428571428,0.012676566461427018,0.0007097020884677383,24849,315,5.189022186271159e-05
bposd_ms_osd_cs_o10,7,1,0.06428571428571428,0.012717733473242392,0.0007259539507839338,23825,303,5.8437086294130556e-05
bposd_ms_osd_cs_o20,7,1,0.06428571428571428,0.010780416174205795,0.000618014453385645,27921,301,7.615808746343852e-05
bposd_ps_osd_0_o0,7,1,0.06428571428571428,0.022041207474844275,0.001214696344686605,14609,322,7.573732787322653e-05
bposd_ps_osd_e_o5,7,1,0.06428571428571428,0.01849072462027976,0.0010438203910553283,16657,308,8.045957927749378e-05
bposd_ps_osd_cs_o5,7,1,0.06428571428571428,0.013959682233549157,0.0007950346870576214,21777,304,8.46498160452141e-05
bposd_ps_osd_cs_o10,7,1,0.06428571428571428,0.01346432174027455,0.0007632585733912342,22801,307,8.930093895252526e-05
bposd_ps_osd_cs_o20,7,1,0.06428571428571428,0.011981602442700886,0.0006764202088246815,25873,310,0.00010788529235086555
bposd_ms_osd_0_o0,7,1,0.07785714285714285,0.03886591848789132,0.002100694871900667,8465,329,5.0358343175631644e-05
bposd_ms_osd_e_o5,7,1,0.07785714285714285,0.03214248076720413,0.0018106528278242638,9489,305,5.867130351014355e-05
bposd_ms_osd_cs_o5,7,1,0.07785714285714285,0.02333456017666544,0.001295218080836222,13585,317,6.379733448647605e-05
bposd_ms_osd_cs_o10,7,1,0.07785714285714285,0.022892896577107105,0.001283191981313264,13585,311,6.82346582258299e-05
bposd_ms_osd_cs_o20,7,1,0.07785714285714285,0.02176740365528099,0.0012072970403778787,14609,318,9.122656403363857e-05
bposd_ps_osd_e_o5,7,1,0.07785714285714285,0.03266940668142059,0.0018249369388280742,9489,310,9.004754611516829e-05
bposd_ps_osd_0_o0,7,1,0.07785714285714285,0.033196332595637056,0.0018390942003890436,9489,315,8.860151660023046e-05
bposd_ps_osd_cs_o5,7,1,0.07785714285714285,0.021219796016154424,0.0011923477770852367,14609,310,9.838017947804541e-05
bposd_ps_osd_cs_o10,7,1,0.07785714285714285,0.022672064777327937,0.0012771322498719177,13585,308,0.00011315248126968231
bposd_ps_osd_cs_o20,7,1,0.07785714285714285,0.0249980097126025,0.0013929751200140643,12561,314,0.00013204773394387604
bposd_ms_osd_0_o0,7,1,0.09142857142857143,0.05711106990543297,0.0031599135881551846,5393,308,5.148662618570715e-05
bposd_ms_osd_e_o5,7,1,0.09142857142857143,0.047218326320710616,0.0026478048449886404,6417,303,6.50625617881357e-05
bposd_ms_osd_cs_o5,7,1,0.09142857142857143,0.03403941405838339,0.0018614891862739778,9489,323,7.292503614746826e-05
bposd_ms_osd_cs_o10,7,1,0.09142857142857143,0.0370939161252215,0.002054138994007008,8465,314,7.720124524851905e-05
bposd_ps_osd_0_o0,7,1,0.09142857142857143,0.05002337540906966,0.002721303225552657,6417,321,9.993623686937398e-05
bposd_ms_osd_cs_o20,7,1,0.09142857142857143,0.031931710401517543,0.001804902991860649,9489,303,0.00010537084602773019
bposd_ps_osd_e_o5,7,1,0.09142857142857143,0.04690665419978183,0.002639483352656696,6417,301,0.00011001788203011503
bposd_ps_osd_cs_o5,7,1,0.09142857142857143,0.037200969543682155,0.0019428296744500586,9489,353,0.00012248594003333202
bposd_ps_osd_cs_o10,7,1,0.09142857142857143,0.0339340288755401,0.0018587067733798594,9489,322,0.00012690449899471496
bposd_ps_osd_cs_o20,7,1,0.09142857142857143,0.03235325113289072,0.0018163818850932105,9489,307,0.00015992130783135957
bposd_ms_osd_0_o0,7,1,0.105,0.07919432364385443,0.004085450930237119,4369,346,5.5325093395779076e-05
bposd_ms_osd_e_o5,7,1,0.105,0.07736324101625086,0.004041956936250682,4369,338,5.984273654425593e-05
bposd_ms_osd_cs_o5,7,1,0.105,0.057296495457073986,0.0031647279324177316,5393,309,7.164906656636202e-05
bposd_ms_osd_cs_o20,7,1,0.105,0.05236091631603553,0.002780731659368084,6417,336,0.00012054551706445595
bposd_ms_osd_cs_o10,7,1,0.105,0.053607604799750665,0.0028117894876222302,6417,344,8.573562443137804e-05
bposd_ps_osd_e_o5,7,1,0.105,0.06304468755794548,0.0033095464221873537,5393,340,0.0001280104301890765
bposd_ps_osd_0_o0,7,1,0.105,0.07186999313344014,0.003907393828690403,4369,314,0.00011461181987788334
bposd_ps_osd_cs_o5,7,1,0.105,0.04799750662303257,0.0026684702287153896,6417,308,0.00013250366885264245
bposd_ps_osd_cs_o10,7,1,0.105,0.051737572074177965,0.002765039082310063,6417,332,0.00014412371450774628
bposd_ps_osd_cs_o20,7,1,0.105,0.04636473592259105,0.0024376390255748358,7441,345,0.0001714959963745936
bposd_ms_osd_0_o0,7,1,0.11857142857142856,0.10014947683109118,0.005190527163366666,3345,335,5.574896623643591e-05
bposd_ms_osd_e_o5,7,1,0.11857142857142856,0.0929745889387145,0.0050210413688418064,3345,311,7.877235875258943e-05
bposd_ms_osd_cs_o5,7,1,0.11857142857142856,0.07736324101625086,0.004041956936250682,4369,338,7.886156259469337e-05
bposd_ms_osd_cs_o10,7,1,0.11857142857142856,0.0775921263447013,0.004047429615177602,4369,339,8.833600389034675e-05
bposd_ms_osd_cs_o20,7,1,0.11857142857142856,0.07072556649118791,0.003878548168759551,4369,309,0.00012177404234724912
bposd_ps_osd_0_o0,7,1,0.11857142857142856,0.0929745889387145,0.0050210413688418064,3345,311,0.00012994945201200053
bposd_ps_osd_e_o5,7,1,0.11857142857142856,0.08834973678187229,0.004293641089938906,4369,386,0.00012541688600382184
bposd_ps_osd_cs_o5,7,1,0.11857142857142856,0.06879287965881699,0.0034465110763629895,5393,371,0.00013506993639388052
bposd_ps_osd_cs_o10,7,1,0.11857142857142856,0.06508436862599666,0.0033589949311149726,5393,351,0.00013538125032742435
bposd_ps_osd_cs_o20,7,1,0.11857142857142856,0.0678657519006119,0.0034249115087642817,5393,366,0.00020287386407553644
bposd_ms_osd_0_o0,7,1,0.13214285714285715,0.12466367713004484,0.005711620984483464,3345,417,6.232655724449298e-05
bposd_ms_osd_cs_o5,7,1,0.13214285714285715,0.10433482810164424,0.005285540864112363,3345,349,9.142452675531798e-05
bposd_ms_osd_e_o5,7,1,0.13214285714285715,0.13183972425678586,0.007022399422655029,2321,306,8.908065875273122e-05
bposd_ms_osd_cs_o10,7,1,0.13214285714285715,0.10284005979073244,0.005251919199152896,3345,344,9.6238751861619e-05
bposd_ms_osd_cs_o20,7,1,0.13214285714285715,0.09955156950672646,0.005176728844481778,3345,333,0.0001336269058191088
bposd_ps_osd_e_o5,7,1,0.13214285714285715,0.11748878923766816,0.005567500549980339,3345,393,0.0001376302442471643
bposd_ps_osd_cs_o5,7,1,0.13214285714285715,0.09207772795216741,0.004999235217066284,3345,308,0.00015570802241006952
bposd_ps_osd_0_o0,7,1,0.13214285714285715,0.11988041853512706,0.005616256134712298,3345,401,0.00013860733721959327
bposd_ps_osd_cs_o10,7,1,0.13214285714285715,0.0968609865470852,0.005113917112239422,3345,324,0.00018081499701463275
bposd_ps_osd_cs_o20,7,1,0.13214285714285715,0.10044843049327354,0.005197404874589533,3345,336,0.00022544930223549573
bposd_ms_osd_0_o0,7,1,0.1457142857142857,0.15467470917707885,0.007505575796619761,2321,359,6.532186169505524e-05
bposd_ms_osd_e_o5,7,1,0.1457142857142857,0.15165876777251186,0.0074452876100232135,2321,352,8.253717922113229e-05
bposd_ms_osd_cs_o5,7,1,0.1457142857142857,0.13744075829383887,0.007146850005073926,2321,319,9.064891252515036e-05
bposd_ms_osd_cs_o10,7,1,0.1457142857142857,0.1249626307922272,0.00571748875272897,3345,418,9.20557799719146e-05
bposd_ms_osd_cs_o20,7,1,0.1457142857142857,0.12376681614349776,0.005693953244200799,3345,414,0.0001643443198927493
bposd_ps_osd_0_o0,7,1,0.1457142857142857,0.14390348987505386,0.007285501572669823,2321,334,0.0001706773843200944
bposd_ps_osd_cs_o5,7,1,0.1457142857142857,0.11360239162929746,0.005486684200073,3345,380,0.0001922653336321548
bposd_ps_osd_e_o5,7,1,0.1457142857142857,0.13916415338216287,0.007184330326377889,2321,323,0.00017268831668303656
bposd_ms_osd_0_o0,7,1,0.15928571428571428,0.19215855234812582,0.008178155324923152,2321,446,8.771739894494524e-05
bposd_ps_osd_cs_o20,7,1,0.1457142857142857,0.12406576980568013,0.005699853263477326,3345,415,0.00021939754620248727
bposd_ps_osd_cs_o10,7,1,0.1457142857142857,0.11838565022421525,0.005585869639087046,3345,396,0.0001917266316926984
bposd_ms_osd_e_o5,7,1,0.15928571428571428,0.18354157690650583,0.008035200092262587,2321,426,0.00011855229425251256
bposd_ms_osd_cs_o5,7,1,0.15928571428571428,0.16372253339077983,0.007680541769039239,2321,380,0.0001301001542458894
bposd_ms_osd_cs_o20,7,1,0.15928571428571428,0.15898319689788884,0.0075899755880924746,2321,369,0.00018486060189181126
bposd_ms_osd_cs_o10,7,1,0.15928571428571428,0.14950452391210686,0.0074015998259561264,2321,347,0.0001016030448096861
bposd_ps_osd_0_o0,7,1,0.15928571428571428,0.17406290392072382,0.007870259066126642,2321,404,0.00014594253552363337
bposd_ps_osd_e_o5,7,1,0.15928571428571428,0.16070659198621284,0.007623180122088155,2321,373,0.00015348705601244875
bposd_ps_osd_cs_o5,7,1,0.15928571428571428,0.14174924601464886,0.007239855618665032,2321,329,0.00016643002283996559
bposd_ps_osd_cs_o10,7,1,0.15928571428571428,0.14347264110297286,0.007276417272469878,2321,333,0.00016790885695539982
bposd_ms_osd_0_o0,7,1,0.17285714285714288,0.2016372253339078,0.008328138240611741,2321,468,7.277529426673424e-05
bposd_ps_osd_cs_o20,7,1,0.15928571428571428,0.14390348987505386,0.007285501572669823,2321,334,0.0002248856092285355
bposd_ms_osd_cs_o5,7,1,0.17285714285714288,0.18828091339939682,0.008114625044699508,2321,437,0.00010197843988343772
bposd_ms_osd_e_o5,7,1,0.17285714285714288,0.22748815165876776,0.0087015054265537,2321,528,8.221664455430786e-05
bposd_ms_osd_cs_o10,7,1,0.17285714285714288,0.1973287376130978,0.00826088270576854,2321,458,0.00010870099053142343
bposd_ps_osd_0_o0,7,1,0.17285714285714288,0.19215855234812582,0.008178155324923152,2321,446,0.00015667198105829172
bposd_ms_osd_cs_o20,7,1,0.17285714285714288,0.1925894011202068,0.008185134950918178,2321,447,0.00015663228864991818
bposd_ps_osd_e_o5,7,1,0.17285714285714288,0.1994829814735028,0.00829469916785402,2321,463,0.00016561053038590003
bposd_ps_osd_cs_o10,7,1,0.17285714285714288,0.16716932356742784,0.0077449582167473715,2321,388,0.00017508564929245943
bposd_ms_osd_0_o0,7,1,0.18642857142857144,0.2382420971472629,0.011828992266991063,1297,309,8.20227440176625e-05
bposd_ps_osd_cs_o5,7,1,0.17285714285714288,0.16544592847910383,0.007712900199176741,2321,384,0.00015840456700746977
bposd_ms_osd_e_o5,7,1,0.18642857142857144,0.26676946800308404,0.012280564875677236,1297,346,9.747600310256614e-05
bposd_ms_osd_cs_o5,7,1,0.18642857142857144,0.2154243860404998,0.008533501406053873,2321,500,0.00010342589402567308
bposd_ps_osd_cs_o20,7,1,0.17285714285714288,0.16544592847910383,0.007712900199176741,2321,384,0.0002278231370193785
bposd_ms_osd_cs_o10,7,1,0.18642857142857144,0.2037914691943128,0.008361204451936943,2321,473,0.00011024520723584547
bposd_ms_osd_cs_o20,7,1,0.18642857142857144,0.20422231796639378,0.00836777334068612,2321,474,0.0001665381667302911
bposd_ps_osd_0_o0,7,1,0.18642857142857144,0.21800947867298578,0.008570395471380226,2321,506,0.0001485190836024358
bposd_ps_osd_e_o5,7,1,0.18642857142857144,0.22964239551917276,0.008730410229445273,2321,533,0.00017759155534016822
