decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
projection,5,1,0.02,0.0020211717743361716,0.0001009564086763057,197905,400,1.7845384550185175e-06
projection,5,1,0.04363636363636364,0.011771613092617055,0.0005843761131253654,34065,401,2.430318244905839e-06
projection,5,1,0.13818181818181818,0.12645739910313902,0.005746667984088243,3345,423,5.920740211262787e-06
projection,5,1,0.06727272727272728,0.02909165582859881,0.0013904747048529874,14609,425,3.0186443304474353e-06
projection,5,1,0.07909090909090909,0.04280414724626653,0.0019741493110236154,10513,450,3.895042517234335e-06
projection,5,1,0.031818181818181815,0.005938959871494467,0.0002949608623168594,67857,403,1.9613587257227237e-06
projection,5,1,0.10272727272727274,0.06607448963690198,0.003101037429553655,6417,424,4.0245507231328474e-06
projection,5,1,0.11454545454545455,0.09567406729228656,0.004450087892127809,4369,418,5.097428938427428e-06
projection,5,1,0.15,0.14798206278026907,0.006139469501716,3345,495,6.805568311735152e-06
projection,7,1,0.02,0.0007137746006877218,3.567599090624911e-05,560401,400,4.2838512101702126e-06
projection,5,1,0.09090909090909091,0.056040854723827443,0.0026663264575205762,7441,417,4.329201050220112e-06
projection,7,1,0.04363636363636364,0.007752823970893575,0.0003828006394073006,52497,407,4.419351716617997e-06
projection,7,1,0.05545454545454545,0.015807985158273103,0.0007754517564890917,25873,409,4.9331333066875635e-06
projection,7,1,0.031818181818181815,0.0031091208612728832,0.0001548276027393446,129297,402,4.1593341216030745e-06
projection,5,1,0.12636363636363634,0.10734721904325932,0.004683231840630115,4369,469,5.324206454977803e-06
projection,5,1,0.05545454545454545,0.018964963034394086,0.0009243133672996552,21777,413,2.768151813670863e-06
projection,7,1,0.06727272727272728,0.0244341718196554,0.0011962686144906696,16657,407,5.35339508984783e-06
projection,7,1,0.07909090909090909,0.03995053742984876,0.0019100502161224675,10513,420,6.0472867834329225e-06
projection,7,1,0.10272727272727274,0.0758390506211756,0.0036049981019479183,5393,409,7.762168553311929e-06
projection,7,1,0.09090909090909091,0.05832549388523048,0.002716839399283485,7441,434,7.21316583400602e-06
projection,7,1,0.12636363636363634,0.12526158445440957,0.005723345836818418,3345,419,9.75648968261966e-06
projection,7,1,0.11454545454545455,0.09658960860608835,0.004469065518045157,4369,422,9.184043022221379e-06
projection,7,1,0.13818181818181818,0.13273542600896862,0.005866393169273444,3345,444,9.650809867676454e-06
projection,7,1,0.15,0.16442451420029897,0.0064088199065823245,3345,550,1.0134579071055356e-05
projection,9,1,0.02,0.00045354713545298585,2.2672213564309364e-05,881937,400,8.55314796874839e-06
projection,9,1,0.031818181818181815,0.0021084480241206453,0.00010531120373482118,189713,400,8.360068002527403e-06
projection,9,1,0.04363636363636364,0.005173054022561686,0.0002567025018037918,78097,404,8.860655647581427e-06
projection,9,1,0.05545454545454545,0.011800968736239542,0.0005850956175205374,34065,402,9.149826244041286e-06
projection,9,1,0.06727272727272728,0.020933650970652338,0.001019238957505001,19729,413,9.580718790038137e-06
projection,9,1,0.09090909090909091,0.051860602480803306,0.0024101351362957827,8465,439,1.2656079030846566e-05
projection,9,1,0.07909090909090909,0.03614457831325301,0.0017377251319231127,11537,417,1.1178227528676073e-05
projection,9,1,0.10272727272727274,0.06623032569736637,0.003104433122321828,6417,425,1.3646063585078452e-05
projection,9,1,0.11454545454545455,0.09269855802243077,0.004387541804479957,4369,405,1.4063525295004838e-05
projection,9,1,0.12636363636363634,0.12167414050822123,0.005652348323171481,3345,407,1.829990044584907e-05
projection,9,1,0.13818181818181818,0.15904334828101643,0.0063233394908439235,3345,532,1.836530911657536e-05
projection,9,1,0.15,0.17535545023696683,0.007893242773249046,2321,407,1.8173686769339128e-05
projection,11,1,0.02,0.00017785864417466254,8.892141331132767e-06,2248977,400,1.562224906349922e-05
projection,11,1,0.031818181818181815,0.0010636006604960101,5.315174434170866e-05,376081,400,1.5882993753791382e-05
projection,11,1,0.04363636363636364,0.00369427571059669,0.0001839130686310271,108817,402,1.649375135251936e-05
projection,11,1,0.05545454545454545,0.008548451780399773,0.00042295649877449924,47377,405,1.6904790297929823e-05
projection,11,1,0.06727272727272728,0.017544596012591816,0.0008505731211061384,23825,418,1.829747819480489e-05
projection,11,1,0.09090909090909091,0.05091553455404607,0.002389263811048458,8465,431,2.143165481264983e-05
projection,11,1,0.07909090909090909,0.03209422156790578,0.0015121683473652493,13585,436,1.959062370497022e-05
projection,11,1,0.10272727272727274,0.07417022065640645,0.003568331125988193,5393,400,2.3038259783655927e-05
projection,11,1,0.11454545454545455,0.10437170977340353,0.004625559568442837,4369,456,2.760645113639196e-05
projection,11,1,0.12636363636363634,0.12268253604943923,0.004963393840472144,4369,536,2.8146934767965033e-05
projection,11,1,0.13818181818181818,0.15246636771300448,0.006215376429810776,3345,510,2.9760637676088565e-05
projection,11,1,0.15,0.1986212839293408,0.00828121812748391,2321,461,3.295851271137682e-05
projection,13,1,0.02,7.76705261215287e-05,3.5303413503473616e-06,6231450,484,2.6072260895551972e-05
projection,13,1,0.031818181818181815,0.0006580059302579351,3.284843552299971e-05,609417,401,2.6867165807678086e-05
projection,13,1,0.04363636363636364,0.0025654017098402397,0.0001281054476853555,155921,400,2.7774455462128762e-05
projection,13,1,0.05545454545454545,0.007306231891882164,0.00036127514423084064,55569,406,2.9018923932731852e-05
projection,13,1,0.06727272727272728,0.015537432845050825,0.0007688928841970977,25873,402,2.993381297175792e-05
projection,13,1,0.07909090909090909,0.028544048189472242,0.0013777140745022092,14609,417,3.1392158325622266e-05
projection,13,1,0.09090909090909091,0.0477259303012404,0.0023170995851860593,8465,404,3.8277579328992527e-05
projection,13,1,0.10272727272727274,0.06965871902758299,0.003177919326673872,6417,447,3.831723671562454e-05
projection,13,1,0.11454545454545455,0.09922041105598867,0.004595001369129115,4233,420,4.683446491313379e-05
projection,13,1,0.12636363636363634,0.12944693572496263,0.005804241183128272,3345,433,4.6084840657218724e-05
projection,13,1,0.13818181818181818,0.15994020926756353,0.0063377611473485265,3345,535,4.7595292071029486e-05
projection,13,1,0.15,0.1951744937526928,0.008226684200486997,2321,453,5.2227380877912034e-05
projection,15,1,0.031818181818181815,0.00032548454477324715,1.6271578518393283e-05,1228937,400,4.2664267906245355e-05
projection,15,1,0.02,3.370592874580038e-05,1.5013560931286544e-06,14952859,504,4.146402852280565e-05
projection,15,1,0.04363636363636364,0.0018997446477892373,9.477856450178525e-05,211081,401,4.3831860925207854e-05
projection,15,1,0.05545454545454545,0.005678527538033422,0.00028241393285297474,70793,402,4.582840460325631e-05
projection,15,1,0.06727272727272728,0.013609090604364294,0.0006707962394455104,29833,406,4.820468809744757e-05
projection,15,1,0.07909090909090909,0.02587597599535394,0.0012753567360788065,15497,401,4.899965567549487e-05
projection,15,1,0.09090909090909091,0.041245061193023035,0.0019521081509576391,10377,428,5.512313655527071e-05
projection,15,1,0.10272727272727274,0.06623149180066869,0.0031378883257892473,6281,416,6.028103932305041e-05
projection,15,1,0.11454545454545455,0.10158280179541697,0.004643281223283798,4233,430,6.746905291634076e-05
projection,15,1,0.12636363636363634,0.1261516654854713,0.005103174176094708,4233,534,8.108989912337812e-05
projection,15,1,0.13818181818181818,0.17357432221875974,0.006685898540291682,3209,557,7.249224835790691e-05
projection,15,1,0.15,0.20503432494279175,0.008636976824520122,2185,448,7.934565217664691e-05
projection,17,1,0.02,1.6257119199090126e-05,7.923170686547665e-07,25896347,421,6.515140028975557e-05
projection,17,1,0.031818181818181815,0.00021422148342565062,9.429564791844819e-06,2408722,516,6.59990314868865e-05
projection,17,1,0.04363636363636364,0.0012356319176080638,6.174341442630636e-05,323721,400,6.677003183871551e-05
projection,17,1,0.05545454545454545,0.0042503577296094126,0.00021180118081794142,94345,401,6.988634225460946e-05
projection,17,1,0.06727272727272728,0.0098547339221841,0.00048726683059145166,41097,405,7.171252064512895e-05
projection,17,1,0.07909090909090909,0.021487265860256215,0.001035913160183111,19593,421,7.751591349198875e-05
projection,17,1,0.09090909090909091,0.043836202288035926,0.0021169331423848293,9353,410,7.809696974185793e-05
projection,17,1,0.10272727272727274,0.06416175768189779,0.003091890634920186,6281,403,8.660150963063975e-05
projection,17,1,0.11454545454545455,0.09282860947308351,0.00400236421324789,5257,488,9.198489328641274e-05
projection,17,1,0.12636363636363634,0.1343097538173886,0.006019358089753709,3209,431,9.8247792779183e-05
projection,17,1,0.13818181818181818,0.1657837332502337,0.00656485935290454,3209,532,9.972303147209635e-05
projection,17,1,0.15,0.2123569794050343,0.008749278955659022,2185,464,0.00011828199816970005
projection,19,1,0.02,6.85e-06,4.1382221658279776e-07,40000000,274,9.609878747236543e-05
projection,19,1,0.031818181818181815,0.00013718952424318092,6.347938599251691e-06,3404050,467,9.719214586696143e-05
projection,19,1,0.04363636363636364,0.0009618135957160822,4.8067547087307395e-05,415881,400,9.907802663976116e-05
projection,19,1,0.05545454545454545,0.0032678410301015307,0.00016271857421219305,123017,402,0.00010201633311645851
projection,19,1,0.06727272727272728,0.00918346522754586,0.00045422987750040123,44101,405,0.00010645973832730086
projection,19,1,0.07909090909090909,0.02077272495278926,0.0010189151435526342,19593,407,0.0001113218579067506
projection,19,1,0.09090909090909091,0.03970318974655488,0.0019168120655913463,10377,412,0.00011706191972383619
