decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
projection,5,1,0.11454545454545455,0.19603619129685482,0.00824040975101206,2321,455,5.476213704741679e-06
projection,5,1,0.15,0.2770357604480827,0.00928942331678319,2321,643,9.562599309238588e-06
projection,5,1,0.07909090909090909,0.09246967269398032,0.004382674443435817,4369,404,5.698681621128874e-06
projection,7,1,0.04363636363636364,0.02352808099089418,0.0011399077869651496,17681,416,5.030397378236861e-06
projection,5,1,0.04363636363636364,0.029365459648162093,0.0013968057941999448,14609,429,4.373930659936827e-06
projection,5,1,0.05545454545454545,0.04542101380545895,0.0021375885933078865,9489,431,6.095193695226037e-06
projection,5,1,0.13818181818181818,0.25721671693235676,0.009072836521356249,2321,597,7.1326656635603495e-06
projection,7,1,0.031818181818181815,0.008672577826677885,0.00043066912622734006,46353,402,3.3697397795160863e-06
projection,7,1,0.02,0.002483839519128669,0.0001240376435937252,161041,400,2.3861496078537486e-06
projection,5,1,0.02,0.005147444844232173,0.00025606960708258835,78097,402,1.9377505279453672e-06
projection,5,1,0.06727272727272728,0.07602447617281662,0.0036090403824295615,5393,410,6.888173182630328e-06
projection,5,1,0.12636363636363634,0.22533390779836276,0.008672273730982744,2321,523,9.907869874553507e-06
projection,5,1,0.031818181818181815,0.014576841803660328,0.0007172616619011706,27921,407,3.250231296115746e-06
projection,5,1,0.09090909090909091,0.12077727952167414,0.005634352468104329,3345,404,8.410699850001187e-06
projection,5,1,0.10272727272727274,0.16083707025411062,0.006352112205613265,3345,538,7.722371598734883e-06
projection,7,1,0.05545454545454545,0.044999473074085784,0.002128115997823886,9489,427,6.593076933098966e-06
projection,7,1,0.06727272727272728,0.0638927847904005,0.003052971045112476,6417,410,6.2082681915704935e-06
projection,7,1,0.07909090909090909,0.09361409933623255,0.0044069302811098774,4369,409,8.045586407876112e-06
projection,7,1,0.09090909090909091,0.14887892376681613,0.006154803921156029,3345,498,9.155530947669839e-06
projection,7,1,0.10272727272727274,0.1831107281344248,0.008027880901538269,2321,425,1.0517377426973409e-05
projection,7,1,0.11454545454545455,0.2158552348125808,0.008539684899863953,2321,501,8.948944410821202e-06
projection,7,1,0.13818181818181818,0.28608358466178374,0.009380642458236813,2321,664,1.0324609209091203e-05
projection,7,1,0.12636363636363634,0.24213700990952175,0.008891772997110331,2321,562,1.0651909952226084e-05
projection,7,1,0.15,0.3269082498072475,0.013025070600951106,1297,424,1.593109096805066e-05
projection,9,1,0.02,0.0015861874794291311,7.924644924095147e-05,252177,400,3.308476641604984e-06
projection,9,1,0.04363636363636364,0.019659808220498242,0.0009636905483123919,20753,408,4.970550427795764e-06
projection,9,1,0.031818181818181815,0.0073700614171784765,0.0003662281855759694,54545,402,3.5573402509860437e-06
projection,9,1,0.05545454545454545,0.04014077808427661,0.0019144028491206212,10513,422,5.423883763497609e-06
projection,9,1,0.07909090909090909,0.10254062714579995,0.004589489293772067,4369,448,9.176966351570771e-06
projection,9,1,0.06727272727272728,0.06763285024154589,0.0031347745138818276,6417,434,6.615286428380183e-06
projection,9,1,0.09090909090909091,0.15396113602391628,0.0062402594858598955,3345,515,9.328973389429741e-06
projection,9,1,0.11454545454545455,0.23395088323998275,0.008787252024094232,2321,543,9.527071087209058e-06
projection,9,1,0.10272727272727274,0.1831107281344248,0.008027880901538269,2321,425,1.1844607056295101e-05
projection,9,1,0.12636363636363634,0.27100387763894873,0.009225986002952238,2321,629,1.1389074974100698e-05
projection,9,1,0.15,0.34232845026985353,0.013175164201601535,1297,444,1.4762914408882972e-05
projection,9,1,0.13818181818181818,0.3091750192752506,0.012832646383676299,1297,401,1.4154876633216939e-05
projection,11,1,0.02,0.0009099822780951341,4.5478407499407916e-05,439569,400,5.492284974397014e-06
projection,11,1,0.031818181818181815,0.005202859626587781,0.00025914163023795563,77073,401,5.775837038446622e-06
projection,11,1,0.04363636363636364,0.01600123681057473,0.00078010068333855,25873,414,6.686288098250604e-06
projection,11,1,0.10272727272727274,0.1934510986643688,0.008199047114428981,2321,449,1.3441674272912582e-05
projection,11,1,0.07909090909090909,0.11192492561226826,0.004769767667071271,4369,489,1.2112583204300025e-05
projection,11,1,0.05545454545454545,0.038904213830495575,0.0018858985480815521,10513,409,8.663515741202913e-06
projection,11,1,0.09090909090909091,0.16083707025411062,0.006352112205613265,3345,538,1.3549539014510531e-05
projection,11,1,0.11454545454545455,0.24386040499784575,0.008913208490641531,2321,566,1.708096337934233e-05
projection,11,1,0.06727272727272728,0.07090540751129812,0.0032040820226320052,6417,455,1.0215852270490617e-05
projection,11,1,0.12636363636363634,0.2938388625592417,0.00945516154718137,2321,682,1.7729875480556336e-05
projection,11,1,0.13818181818181818,0.31688511950655357,0.01291896756146479,1297,411,2.312638166140831e-05
projection,11,1,0.15,0.37625289128758677,0.013451608150094324,1297,488,1.7301497299514234e-05
projection,13,1,0.02,0.0005282553303149507,2.4650333861586966e-05,868898,459,8.680584106570207e-06
projection,13,1,0.031818181818181815,0.003617011680873134,0.00018029798661541504,110865,401,9.102322663017897e-06
projection,13,1,0.04363636363636364,0.013228793598554512,0.0006489878202251157,30993,410,9.895942923151183e-06
projection,13,1,0.06727272727272728,0.06276038166913049,0.002811593010424168,7441,467,1.2770018545266637e-05
projection,13,1,0.05545454545454545,0.035624512438242176,0.0017256435789633324,11537,411,1.1240234375918649e-05
projection,13,1,0.10272727272727274,0.20637656182679878,0.008400397924433029,2321,479,2.0283264534239757e-05
projection,13,1,0.09090909090909091,0.16741405082212257,0.006455240542861543,3345,560,1.6100747677496174e-05
projection,13,1,0.07909090909090909,0.10505836575875487,0.004638970966006399,4369,459,1.5062619359644962e-05
projection,13,1,0.11454545454545455,0.26669538991813874,0.009179359771002203,2321,619,2.06772223219696e-05
projection,13,1,0.12636363636363634,0.3244291253769927,0.00971757288328572,2321,753,1.914772640646687e-05
projection,13,1,0.13818181818181818,0.3662297609868928,0.013377431920063212,1297,475,2.4720444871308734e-05
projection,13,1,0.15,0.41480339244410175,0.013680502873618001,1297,538,2.4907124895583076e-05
projection,15,1,0.02,0.0002951645212245488,1.3305080272347733e-05,1666867,492,1.278199674415848e-05
projection,15,1,0.031818181818181815,0.0029093236549833077,0.00014525442451543408,137489,400,1.3664842546846007e-05
