decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
projection,7,1,0.0820641035384579,0.11086915945996391,0.00082550268026957,144657,16038,3.4133320267897192e-06
projection,7,1,0.07750498667521025,0.09622872865388642,0.0007212452820776299,167185,16088,3.31448690970256e-06
projection,7,1,0.059268519222219596,0.05105271716775558,0.00039303450194330745,313617,16011,2.9627194317539037e-06
projection,7,1,0.07294586981196258,0.08396902541195468,0.0006350342687902372,190737,16016,3.264171088796058e-06
projection,5,1,0.05470940235897193,0.04642388688937083,0.0003580237069455014,345361,16033,1.6689487964526938e-06
projection,5,1,0.059268519222219596,0.05401149939609667,0.000414607861885805,297233,16054,1.7580339699556753e-06
projection,5,1,0.0820641035384579,0.10237344292586575,0.000765187310020758,156945,16067,2.0546624551057015e-06
projection,5,1,0.09118233726495323,0.1259892022727094,0.000930246132337554,127249,16032,2.089370384863536e-06
projection,5,1,0.06838675294871492,0.07093394298626957,0.000539314921714928,226577,16072,1.8578488909701843e-06
projection,7,1,0.06838675294871492,0.07259197045024542,0.0005513596908233952,221457,16076,3.1283808141801864e-06
projection,5,1,0.08662322040170556,0.11442718819587225,0.0008490716325074002,140561,16084,2.02556900521703e-06
projection,7,1,0.05470940235897193,0.0415393839038456,0.000321454380079962,385297,16005,2.853783906962429e-06
projection,5,1,0.06382763608546725,0.06304651391483922,0.0004820370573364566,254225,16028,1.7932602022701708e-06
projection,7,1,0.06382763608546725,0.06151269928447703,0.00047087101211072934,260369,16016,3.124322384639048e-06
projection,5,1,0.07294586981196258,0.0818709568715951,0.0006195084678004411,195857,16035,1.9447585881838393e-06
projection,5,1,0.07750498667521025,0.09243692630777307,0.0006957056668903047,173329,16022,1.929973010711444e-06
projection,7,1,0.08662322040170556,0.12459685839578645,0.000918466609482006,129297,16110,3.2624142556296432e-06
projection,7,1,0.09118233726495323,0.13592808790761907,0.0009975342709497904,118033,16044,3.2587411665456254e-06
projection,9,1,0.05470940235897193,0.038558520445077966,0.0002985149383273325,416017,16041,4.316410750236513e-06
projection,9,1,0.059268519222219596,0.04896781870069648,0.0003774211753222255,326929,16009,4.43467567292164e-06
projection,9,1,0.06382763608546725,0.06055999848751253,0.0004638134621664818,264465,16016,4.502999595426161e-06
projection,9,1,0.06838675294871492,0.07199715930798585,0.0005480067016531185,222481,16018,4.673577329336333e-06
projection,9,1,0.07294586981196258,0.08519839524296594,0.0006426964111683261,188689,16076,4.771902474709427e-06
projection,9,1,0.07750498667521025,0.09737369577986763,0.0007295459054648067,165137,16080,4.848996645431677e-06
projection,9,1,0.0820641035384579,0.113472472366423,0.0008429129942007374,141585,16066,5.072329922498289e-06
projection,9,1,0.08662322040170556,0.12981469998469927,0.0009537778370343979,124177,16120,5.0555433769688515e-06
projection,9,1,0.09118233726495323,0.1465299842499613,0.001067026355043015,109841,16095,5.213876576897183e-06
projection,11,1,0.05470940235897193,0.0347984671198068,0.0002702010378141076,460049,16009,6.785671935060891e-06
projection,11,1,0.059268519222219596,0.04545441651608804,0.00035082372488240074,352529,16024,7.141602764994854e-06
projection,11,1,0.06382763608546725,0.05615993341935664,0.0004305296028157475,285969,16060,7.199924925422992e-06
projection,11,1,0.06838675294871492,0.07053571820861947,0.0005367027443055142,227601,16054,7.34903368164631e-06
projection,11,1,0.07294586981196258,0.08312368700884405,0.0006287545717295488,192785,16025,7.450143916807734e-06
projection,11,1,0.07750498667521025,0.10139331134589698,0.0007594576171383304,157969,16017,7.848677310782223e-06
projection,11,1,0.0820641035384579,0.11669297180138047,0.0008658531004991583,137489,16044,7.800372219059197e-06
projection,11,1,0.08662322040170556,0.13433432433107653,0.0009840823634722003,120081,16131,8.112387663294382e-06
projection,11,1,0.09118233726495323,0.15201664381294624,0.0011041022969111535,105745,16075,8.150642309427688e-06
projection,13,1,0.05470940235897193,0.03227536807632353,0.0002509685273340075,495889,16005,1.1049326879334714e-05
projection,13,1,0.059268519222219596,0.04181615607607587,0.00032333741417124904,383249,16026,1.128571302705088e-05
projection,13,1,0.06382763608546725,0.054345579890577096,0.0004172546638053477,295185,16042,1.1376097776001851e-05
projection,13,1,0.06838675294871492,0.06791126114854978,0.000518124435001239,235793,16013,1.182273468239326e-05
projection,13,1,0.07294586981196258,0.0828599291054595,0.0006261856958466922,193809,16059,1.2101784297881976e-05
projection,13,1,0.07750498667521025,0.10153890953288304,0.0007599411295065776,157969,16040,1.2412239344404763e-05
projection,13,1,0.0820641035384579,0.11786172278606236,0.0008728589838911283,136465,16084,1.2489080840849484e-05
projection,13,1,0.08662322040170556,0.13936030479901879,0.0010214214265161997,114961,16021,1.2945247710589661e-05
projection,13,1,0.09118233726495323,0.15744158639564443,0.001136662709920872,102673,16165,1.3379838176125352e-05
projection,15,1,0.05470940235897193,0.029147553342790598,0.0002270059885083542,549137,16006,1.638568253624844e-05
projection,15,1,0.059268519222219596,0.03985003024788327,0.00030863361035893375,401681,16007,1.6828390877413934e-05
projection,15,1,0.06382763608546725,0.052040341753584865,0.00040055439859568653,307473,16001,1.7517021019958135e-05
projection,15,1,0.06838675294871492,0.0669017754044579,0.0005101258553994948,239889,16049,1.7513000929700032e-05
projection,15,1,0.07294586981196258,0.08355713622686574,0.0006319232398372119,191761,16023,1.7829647978714757e-05
projection,15,1,0.07750498667521025,0.10109879051278987,0.0007560316212328315,158993,16074,1.8385926286587805e-05
projection,15,1,0.0820641035384579,0.12051606905909605,0.0008913944243899099,133393,16076,1.8809481877918504e-05
projection,15,1,0.08662322040170556,0.14207398616634045,0.001038987273455066,112913,16042,1.9175126645652348e-05
projection,15,1,0.09118233726495323,0.16414666899018995,0.001185934657585016,97553,16013,1.949939606165261e-05
projection,17,1,0.05470940235897193,0.0260545037768049,0.00020318266928526848,614673,16015,2.5027049623201516e-05
projection,17,1,0.059268519222219596,0.03684667245177224,0.0002858100201768554,434449,16008,2.541567393159169e-05
projection,17,1,0.06382763608546725,0.050093663705079734,0.00038576164370233545,319761,16018,2.623289309827621e-05
projection,17,1,0.06838675294871492,0.06544657543192291,0.0004996369067870286,245009,16035,2.674986738105745e-05
projection,17,1,0.07294586981196258,0.0812763699754933,0.0006142514769056944,197905,16085,2.7427283898900896e-05
projection,17,1,0.07750498667521025,0.10170982914369275,0.0007605081135793734,157969,16067,2.8829331482396414e-05
projection,17,1,0.0820641035384579,0.12257033004682324,0.000904882237481956,131345,16099,2.8183743811558042e-05
projection,17,1,0.08662322040170556,0.14671206562212652,0.0010675752066234495,109841,16115,2.9445208692720206e-05
projection,17,1,0.09118233726495323,0.1682425003926496,0.0012104675886604802,95505,16068,3.041372392055866e-05
projection,19,1,0.05470940235897193,0.024307656277444915,0.00018182920979227898,717346,17437,3.535318764762298e-05
projection,19,1,0.059268519222219596,0.03460434745995107,0.00026857820332467687,463121,16026,3.57512887950442e-05
projection,19,1,0.06382763608546725,0.04773237739665918,0.000367724625398027,336145,16045,3.685154324174529e-05
projection,19,1,0.06838675294871492,0.06355456683202672,0.00048580489067878024,252177,16027,3.738985283292087e-05
projection,19,1,0.07294586981196258,0.08154672111580091,0.0006167794322218924,196881,16055,3.861634714942711e-05
projection,19,1,0.07750498667521025,0.10184909697472289,0.0007609696085735033,157969,16089,4.005524947941357e-05
projection,19,1,0.0820641035384579,0.12438030271390674,0.0009177815900426569,129297,16082,4.011118977986247e-05
projection,19,1,0.08662322040170556,0.1484790292505079,0.0010830162032032717,107793,16005,4.103189713723374e-05
projection,19,1,0.09118233726495323,0.17203633756700942,0.0012345532147908559,93457,16078,4.124167448158012e-05
projection,21,1,0.05470940235897193,0.02276808195695632,0.0001682093889295104,786364,17904,4.8450799400256824e-05
projection,21,1,0.059268519222219596,0.033208172047547224,0.00023756583394361847,568866,18891,4.9536339236690376e-05
