decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
projection,5,1,0.12784862641070352,0.18905267024842723,0.002653314353652723,21777,4117,4.228459616698167e-06
projection,5,1,0.14382970471204146,0.21212428404886208,0.002910526217903411,19729,4185,4.041229621451288e-06
projection,7,1,0.11985808726003455,0.12327108743682091,0.0018085756797814197,33041,4073,9.103649141430595e-06
projection,5,1,0.1598107830133794,0.23782591482382218,0.0032018668295311793,17681,4205,4.3344386154772585e-06
projection,7,1,0.10387700895869661,0.0932279753240452,0.0013975699032460246,43281,4035,9.045462681453142e-06
projection,7,1,0.11186754810936558,0.10846325766755527,0.0016136432899321936,37137,4028,8.455760748207042e-06
projection,7,1,0.12784862641070352,0.14237346692002073,0.0020538884737848835,28945,4121,9.173160349047025e-06
projection,5,1,0.15182024386271042,0.23183077880210395,0.0031736613727367316,17681,4099,4.396070174722861e-06
projection,5,1,0.09588646980802765,0.13764223030464814,0.0019901392499242117,29969,4125,3.397672030437203e-06
projection,7,1,0.1358391655613725,0.16193810616121374,0.0023369967958190027,24849,4024,9.445075039274004e-06
projection,5,1,0.11186754810936558,0.16338685661394825,0.002345397415744001,24849,4060,3.6794906724966206e-06
projection,5,1,0.10387700895869661,0.14916161653716029,0.0021722017342688874,26897,4012,3.5419626377934852e-06
projection,5,1,0.1358391655613725,0.19939285886377872,0.0027734739229366926,20753,4138,4.136867769204688e-06
projection,5,1,0.11985808726003455,0.17749221525371695,0.0025303623452858776,22801,4047,3.96835479397152e-06
projection,7,1,0.09588646980802765,0.08029891573668457,0.0012099067754191663,50449,4051,8.30672803227469e-06
projection,7,1,0.14382970471204146,0.17154249737670516,0.0024423310298158163,23825,4087,9.631962126466872e-06
projection,7,1,0.1598107830133794,0.2152365677626303,0.0030050281987520516,18705,4026,1.0114937918138708e-05
projection,7,1,0.15182024386271042,0.19809184214330458,0.002766656030913092,20753,4111,9.272944378761583e-06
projection,9,1,0.09588646980802765,0.08928059299786009,0.001339315082527933,45329,4047,1.8074213882462834e-05
projection,9,1,0.10387700895869661,0.10581483713739158,0.001574624992251846,38161,4038,1.8498922239701356e-05
projection,9,1,0.11186754810936558,0.12743230158978042,0.0018635841644895877,32017,4080,1.8595290560901647e-05
projection,9,1,0.11985808726003455,0.14566097202822248,0.00211116044707514,27921,4067,1.9331582953360153e-05
projection,9,1,0.12784862641070352,0.16451366252163066,0.002351885657538787,24849,4088,2.0007009034731774e-05
projection,9,1,0.1358391655613725,0.18579234972677597,0.0026356180760281427,21777,4046,2.019331756528983e-05
projection,9,1,0.14382970471204146,0.20548431243347356,0.002876656709300693,19729,4054,1.9741372624362612e-05
projection,9,1,0.15182024386271042,0.22330927559476077,0.0030450791415407696,18705,4177,2.0591083017074067e-05
projection,9,1,0.1598107830133794,0.24542234496007684,0.003334345724858462,16657,4088,2.102203031558696e-05
projection,11,1,0.09588646980802765,0.06909841237359526,0.0010473340813251927,58641,4052,3.421506353674725e-05
projection,11,1,0.10387700895869661,0.08732983841391065,0.0013112917557019294,46353,4048,3.358833668410535e-05
projection,11,1,0.11186754810936558,0.10599827048557428,0.0015758275745573294,38161,4045,3.5122983286957296e-05
