decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
restriction,9,1,0.02,0.0017799148002868,8.656775219775829e-05,237090,422,1.087949703071755e-05
restriction,9,1,0.0318181818181818,0.0077710644415518,0.0003870405414974,51473,400,1.0788355755741817e-05
restriction,9,1,0.0436363636363636,0.0215985030740443,0.0010628978394502,18705,404,1.1863258491282442e-05
restriction,9,1,0.0554545454545454,0.0384286121944259,0.0018747993065295,10513,404,1.232935032466848e-05
restriction,9,1,0.0672727272727272,0.0629577684276141,0.0030320630331354,6417,404,1.2220631139339857e-05
restriction,9,1,0.0699906401492644,0.0736097717775634,0.0017695616298588,21777,1603,1.2362561373153584e-05
restriction,9,1,0.0777673779436272,0.0928114925626378,0.0021822084658208,17681,1641,1.275847643987482e-05
restriction,9,1,0.079090909090909,0.1039139391165026,0.0046165840051722,4369,454,1.4373760336925188e-05
restriction,9,1,0.0855441157379899,0.1214574898785425,0.0028026167911871,13585,1650,1.3318046962415246e-05
restriction,9,1,0.0909090909090909,0.1402092675635276,0.006003253449084,3345,469,1.5987556059503725e-05
restriction,9,1,0.0933208535323526,0.1552363740131266,0.0035318399572904,10513,1632,1.3934034335669804e-05
restriction,9,1,0.1010975913267153,0.1677922572053647,0.0036445045943133,10513,1764,1.4283871026134742e-05
restriction,9,1,0.1027272727272727,0.1779405428694528,0.0079387385675736,2321,413,1.695607108726475e-05
restriction,9,1,0.108874329121078,0.2055522740696987,0.0043921819698782,8465,1740,1.5088014173438595e-05
restriction,9,1,0.1145454545454545,0.2322274881516587,0.008764669045696,2321,539,1.583559540807013e-05
restriction,9,1,0.1166510669154408,0.2251041526676521,0.0048416987914501,7441,1675,1.6315660523977886e-05
restriction,9,1,0.1263636363636363,0.2697113313227057,0.0092121140735413,2321,626,2.0289099908673408e-05
restriction,9,1,0.1381818181818181,0.3161141094834233,0.0129105211698281,1297,410,2.2949531237087116e-05
restriction,9,1,0.15,0.3215111796453354,0.0129687882541342,1297,417,1.9860960718721106e-05
restriction,11,1,0.02,0.0006986020558437,3.2144532026572e-05,675635,472,1.184433787455028e-05
restriction,11,1,0.0318181818181818,0.0040780303721963,0.0002029785220037,98577,402,1.2602516264596336e-05
restriction,11,1,0.0436363636363636,0.0140611504577647,0.0006920677958228,28945,407,1.2849781242414658e-05
restriction,11,1,0.0554545454545454,0.0324814903272032,0.001581741491859,12561,408,1.3178459041078029e-05
restriction,11,1,0.0672727272727272,0.059669399274291,0.0027459995719797,7441,444,1.326007376288668e-05
restriction,11,1,0.0699906401492644,0.0658376594631574,0.0015732361287359,24849,1636,1.5212773387237696e-05
restriction,11,1,0.0777673779436272,0.090617481956696,0.0020989420066328,18705,1695,1.4597295697696808e-05
restriction,11,1,0.079090909090909,0.1018539711604486,0.0045758463995431,4369,445,1.549389633314049e-05
restriction,11,1,0.0855441157379899,0.1191755612808244,0.0027797674135316,13585,1619,1.5499849472452678e-05
restriction,11,1,0.0909090909090909,0.1408071748878923,0.0060139477740493,3345,471,1.4946549770287245e-05
restriction,11,1,0.0933208535323526,0.1456184450030337,0.0032838830359613,11537,1680,1.4660273907617182e-05
restriction,11,1,0.1010975913267153,0.1771524923595742,0.0039194315940558,9489,1681,1.698052556135113e-05
restriction,11,1,0.1027272727272727,0.1917277035760448,0.0081711599491692,2321,445,1.619221283085179e-05
restriction,11,1,0.108874329121078,0.2086237448316597,0.0044163134985185,8465,1766,1.8319989257804033e-05
restriction,11,1,0.1145454545454545,0.2184403274450667,0.0085764964136161,2321,507,1.911830376931585e-05
restriction,11,1,0.1166510669154408,0.2409622362585673,0.0049578174530845,7441,1793,1.6882251587654696e-05
restriction,11,1,0.1263636363636363,0.2688496337785437,0.0092028110506886,2321,624,1.8183900477129523e-05
restriction,11,1,0.1381818181818181,0.3515805705474171,0.0132577692257291,1297,456,2.3040060171499883e-05
restriction,11,1,0.15,0.3423284502698535,0.0131751642016015,1297,444,1.8204575156435405e-05
restriction,13,1,0.02,0.0004115389752679,1.926811224368868e-05,1108036,456,1.2416908771993345e-05
restriction,13,1,0.0318181818181818,0.0030858998116299,0.0001534822538837,130594,403,1.2758830539609448e-05
restriction,13,1,0.0436363636363636,0.0112701797136765,0.0005554851497905,36113,407,1.390679603139476e-05
restriction,13,1,0.0554545454545454,0.0259707030000639,0.0012720573709353,15633,406,1.3951526197940178e-05
restriction,13,1,0.0672727272727272,0.0549657304125789,0.0026421296711947,7441,409,1.585349750066367e-05
restriction,13,1,0.0699906401492644,0.0618284567052087,0.0014685319833315,26897,1663,1.7087303900775226e-05
restriction,13,1,0.0777673779436272,0.0908319665177309,0.0021611654951689,17681,1606,1.666539902169645e-05
restriction,13,1,0.079090909090909,0.0877062859262006,0.00385183337005,5393,473,1.6446427587884633e-05
restriction,13,1,0.0855441157379899,0.1202797202797202,0.0027908640740204,13585,1634,1.706170718304547e-05
restriction,13,1,0.0909090909090909,0.14050822122571,0.0060086052141856,3345,470,2.1208955778257284e-05
restriction,13,1,0.0933208535323526,0.1512524919823177,0.0033357544887387,11537,1745,1.865158480046937e-05
restriction,13,1,0.1010975913267153,0.1929119905493207,0.0042887089832781,8465,1633,1.8904636740823137e-05
restriction,13,1,0.1027272727272727,0.1968978888410168,0.0082540737193616,2321,457,1.896528137116687e-05
restriction,13,1,0.108874329121078,0.2252385432065582,0.0048427238664911,7441,1676,1.8143781067565947e-05
restriction,13,1,0.1145454545454545,0.2378285221887117,0.00883732332747,2321,552,2.0946611364190303e-05
restriction,13,1,0.1166510669154408,0.2554153031011376,0.005443954547591,6417,1639,1.9172516916538184e-05
restriction,13,1,0.1263636363636363,0.3114880493446414,0.012858977839307,1297,404,2.4995984600780787e-05
restriction,13,1,0.1381818181818181,0.3423284502698535,0.0131751642016015,1297,444,2.275552429544611e-05
restriction,13,1,0.15,0.3978411719352351,0.0135906554887561,1297,516,2.267081033777368e-05
restriction,15,1,0.02,0.0001880613038335,8.835059953535218e-06,2408789,453,1.330232068627481e-05
restriction,15,1,0.0318181818181818,0.0017100386588506,7.53620530256641e-05,300578,514,1.485172540930798e-05
restriction,15,1,0.0436363636363636,0.0079847687136945,0.0003922840046154,51473,411,1.4952932447636895e-05
restriction,15,1,0.0554545454545454,0.0233018494429048,0.0011345456278917,17681,412,1.637142520875862e-05
restriction,15,1,0.0672727272727272,0.0504430005906674,0.0023787428438314,8465,427,1.813132523262529e-05
restriction,15,1,0.0699906401492644,0.0567558396018324,0.0012304073846686,35362,2007,1.900571116771334e-05
restriction,15,1,0.0777673779436272,0.083835977495058,0.0019731009077282,19729,1654,1.9064275131743217e-05
restriction,15,1,0.079090909090909,0.0873354348229186,0.0038444624892808,5393,471,1.9787865744939255e-05
restriction,15,1,0.0855441157379899,0.1134916832089807,0.0026242981916682,14609,1658,1.9763630358528406e-05
restriction,15,1,0.0909090909090909,0.1378176382660687,0.0059601049551064,3345,461,2.3668211354402148e-05
restriction,15,1,0.0933208535323526,0.1518592355031637,0.0033412435005515,11537,1752,2.150193214581344e-05
restriction,15,1,0.1010975913267153,0.189722386296515,0.0042615023103902,8465,1606,2.2773799048852215e-05
restriction,15,1,0.1027272727272727,0.2029297716501508,0.0083480224260966,2321,471,2.2513931055377906e-05
restriction,15,1,0.108874329121078,0.2285983066792097,0.0048681185548448,7441,1701,2.282458137104531e-05
restriction,15,1,0.1145454545454545,0.2477380439465747,0.0089607287570264,2321,575,2.386715466867633e-05
restriction,15,1,0.1166510669154408,0.2580645161290322,0.0054623710537716,6417,1656,2.251977807370075e-05
restriction,15,1,0.1263636363636363,0.3207401696222051,0.0129605865139507,1297,416,2.933269077244178e-05
restriction,15,1,0.1381818181818181,0.3839629915188897,0.0135044871797579,1297,498,2.953145184834921e-05
restriction,15,1,0.15,0.3939861218195836,0.0135678726618563,1297,511,3.0368736289145747e-05
restriction,17,1,0.02,0.0001077536049748,5.007464897351218e-06,4296840,463,1.4784283468356984e-05
restriction,17,1,0.0318181818181818,0.0012558733179354,5.6641168826509855e-05,390963,491,1.6623499534276997e-05
restriction,17,1,0.0436363636363636,0.006304794466837,0.0003134617140298,63761,402,1.7718271481595985e-05
restriction,17,1,0.0554545454545454,0.0203825952874283,0.00098088375932,20753,423,1.9732105133463818e-05
restriction,17,1,0.0672727272727272,0.0444725471598693,0.0021162031835599,9489,422,2.24965836142004e-05
restriction,17,1,0.0699906401492644,0.055206200643463,0.0011275148578421,41028,2265,2.2607606366937573e-05
restriction,17,1,0.0777673779436272,0.080566833850808,0.0017171614326092,25122,2024,2.300082911571848e-05
restriction,17,1,0.079090909090909,0.0862228815130725,0.0038222245321199,5393,465,2.453341517488987e-05
restriction,17,1,0.0855441157379899,0.1187340411235049,0.0026516150292359,14882,1767,2.643946263357895e-05
restriction,17,1,0.0909090909090909,0.1378176382660687,0.0059601049551064,3345,461,2.572462690078134e-05
restriction,17,1,0.0933208535323526,0.1487388402530987,0.0033128148047534,11537,1716,2.604470382579936e-05
