decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
restriction,7,1,0.08746292545135197,0.11918391310729488,0.0017554854830472723,34065,4060,1.0501082460169757e-05
restriction,5,1,0.11078637223837916,0.1840473894475823,0.0026260214755867025,21777,4008,9.633964065334222e-06
restriction,5,1,0.07580120205783837,0.09657571526610975,0.0014369131399042635,42257,4081,8.920802024613864e-06
restriction,7,1,0.08163206375459517,0.10452979456424652,0.001545559372346821,39185,4096,9.774028217113145e-06
restriction,7,1,0.06997034036108157,0.0736456137134476,0.001118367533480601,54545,4017,9.934010169136637e-06
restriction,5,1,0.09329378714810876,0.13829676973570565,0.0020290750076433265,28945,4003,9.025293625189781e-06
restriction,7,1,0.09912464884486556,0.15978046612298535,0.0022779009443833335,25873,4134,9.746774366605003e-06
restriction,5,1,0.11661723393513596,0.1999710885173228,0.002776489294020964,20753,4150,9.54730833273379e-06
restriction,7,1,0.10495551054162236,0.17359916054564534,0.0024538766640161964,23825,4136,1.0353495974723027e-05
restriction,5,1,0.06997034036108157,0.08295283155306708,0.0012536730134596837,48401,4015,9.32763698214598e-06
restriction,5,1,0.09912464884486556,0.15444101572666097,0.0022034406505224272,26897,4154,9.120155923143592e-06
restriction,5,1,0.08163206375459517,0.11040202493470123,0.0016262301312889838,37137,4100,9.024110076504668e-06
restriction,7,1,0.07580120205783837,0.0867689254201454,0.0013074753996651673,46353,4022,9.628284550257965e-06
restriction,5,1,0.08746292545135197,0.1254645969328794,0.0018512240235584478,32017,4017,8.692367956146776e-06
restriction,5,1,0.10495551054162236,0.17372507869884576,0.00245457942559517,23825,4139,1.0041080816900055e-05
restriction,7,1,0.09329378714810876,0.1418552427016756,0.0020507664099523337,28945,4106,1.0758179348843108e-05
restriction,7,1,0.11661723393513596,0.21202291043641341,0.002910017862136689,19729,4183,9.901950555863978e-06
restriction,7,1,0.11078637223837916,0.19573073772466631,0.0027541640743066536,20753,4062,1.0540289455424408e-05
restriction,9,1,0.06997034036108157,0.07110420016609828,0.0010803134150029511,56593,4024,1.1334727183321381e-05
restriction,9,1,0.07580120205783837,0.08793389856104243,0.0013153835240692045,46353,4076,1.1483042189106031e-05
restriction,9,1,0.08163206375459517,0.10576242760933938,0.0015742811257039816,38161,4036,1.0466268840836628e-05
restriction,9,1,0.08746292545135197,0.13073919917400703,0.0019149002237412633,30993,4052,1.1803502758516378e-05
restriction,9,1,0.09329378714810876,0.14372694387736829,0.002099470373460839,27921,4013,1.160022910556395e-05
restriction,9,1,0.09912464884486556,0.1651977946798664,0.002355805647077383,24849,4105,1.1988347982430444e-05
restriction,9,1,0.10495551054162236,0.18606786977085915,0.0026371252896573755,21777,4052,1.2544860029100015e-05
restriction,9,1,0.11078637223837916,0.21004612499366415,0.0029000512139233476,19729,4144,1.3008359153813308e-05
restriction,9,1,0.11661723393513596,0.22815451614727675,0.0031559223313460255,17681,4034,1.2079322531858953e-05
restriction,11,1,0.07580120205783837,0.08198280222559433,0.0012339951391051023,49425,4052,1.252854160246565e-05
restriction,11,1,0.06997034036108157,0.06653594555850319,0.001011630641431304,60689,4038,1.2288002556810756e-05
restriction,11,1,0.08163206375459517,0.10422355493173409,0.0015435575797550574,39185,4084,1.3266845397828024e-05
restriction,11,1,0.09912464884486556,0.16676727433699545,0.0023647439153427373,24849,4144,1.416400053333258e-05
restriction,11,1,0.08746292545135197,0.12442117369329016,0.0018158007066723855,33041,4111,1.4136599246348813e-05
restriction,11,1,0.09329378714810876,0.14333297517997207,0.002097073240972589,27921,4002,1.3607777320234129e-05
restriction,11,1,0.10495551054162236,0.19061395049823207,0.002661682032273582,21777,4151,1.3667187184677346e-05
restriction,11,1,0.11078637223837916,0.21796311146752206,0.003018743846086018,18705,4077,1.4218849617170319e-05
restriction,13,1,0.07580120205783837,0.08155791603439555,0.0012310781089760476,49425,4031,1.5099162179797692e-05
restriction,11,1,0.11661723393513596,0.24176022092813831,0.003317395960320435,16657,4027,1.4851318907184788e-05
restriction,13,1,0.06997034036108157,0.062468163926834915,0.0009507911949056035,64785,4047,1.5194237277778872e-05
