decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
restriction,7,1,0.12079010645562877,0.13604057526110314,0.0019803628800042577,29969,4077,5.4824980285618205e-05
restriction,7,1,0.10468475892821158,0.11084650956719187,0.0016520287309607087,36113,4003,4.703256333392742e-05
restriction,5,1,0.11273743269192017,0.1268388668519849,0.0018598720016612179,32017,4061,4.7111067299653673e-05
restriction,5,1,0.096632085164503,0.1028454765854281,0.0015344978969093932,39185,4030,4.0416553987531664e-05
restriction,5,1,0.12884278021933734,0.15587678274649247,0.0022551230565701365,25873,4033,5.04848136260362e-05
restriction,7,1,0.12884278021933734,0.1476308155152036,0.0021229359685056713,27921,4122,5.531655689302171e-05
restriction,5,1,0.12079010645562877,0.14043876317153223,0.0020421852359494607,28945,4065,5.152913130672433e-05
restriction,5,1,0.10468475892821158,0.1169597309698196,0.0017156272635189622,35089,4104,4.359031325726538e-05
restriction,7,1,0.096632085164503,0.08994242096671005,0.0013437814848976304,45329,4077,4.663913091224482e-05
restriction,5,1,0.1530008015104631,0.19703175444514046,0.002761066423292405,20753,4089,5.846620964430553e-05
restriction,7,1,0.11273743269192017,0.12100396301188904,0.001767010210171583,34065,4122,5.286410537396765e-05
restriction,7,1,0.13689545398304592,0.16568071149744457,0.0023585639678217886,24849,4117,6.034144057982101e-05
restriction,5,1,0.1610534752741717,0.2131887069795732,0.002915847817166735,19729,4206,5.964172455712596e-05
restriction,7,1,0.14494812774675453,0.18510354961656794,0.0026318404710131437,21777,4031,6.396452682336981e-05
restriction,5,1,0.13689545398304592,0.16523803774799792,0.0023560357826242708,24849,4106,5.462302305963934e-05
restriction,5,1,0.14494812774675453,0.18078154466909346,0.002548589930618976,22801,4122,5.840195241825709e-05
restriction,7,1,0.1530008015104631,0.2056363728521466,0.002877445496468476,19729,4057,6.758836386914601e-05
restriction,7,1,0.1610534752741717,0.2206896551724138,0.003032266391537622,18705,4128,6.970586521569435e-05
restriction,9,1,0.096632085164503,0.08866288689360012,0.0013351264300605127,45329,4019,4.9890365572014065e-05
restriction,9,1,0.10468475892821158,0.10394283526859768,0.0015417189562057097,39185,4073,5.291953872562717e-05
restriction,9,1,0.11273743269192017,0.1202113606340819,0.0017620074267671298,34065,4095,5.965620740940834e-05
restriction,9,1,0.12079010645562877,0.13657446027561815,0.001983631818382296,29969,4093,5.945491872166262e-05
restriction,9,1,0.12884278021933734,0.15614733505971476,0.0022567175543827165,25873,4040,6.278360312043554e-05
restriction,9,1,0.13689545398304592,0.17485834207764953,0.0024608830795695815,23825,4166,6.736889110188169e-05
restriction,9,1,0.14494812774675453,0.1908435505349681,0.0026629068102514124,21777,4156,7.173230734342389e-05
restriction,9,1,0.1530008015104631,0.21374626184804096,0.0029186235964589135,19729,4217,7.547409694948288e-05
restriction,9,1,0.1610534752741717,0.23058650528816244,0.0031676955254359975,17681,4077,7.942721935485386e-05
restriction,11,1,0.096632085164503,0.08540008865061105,0.0012839879848753402,47377,4046,5.520696308374409e-05
restriction,11,1,0.10468475892821158,0.09834355977008706,0.0014664627633202436,41233,4055,5.847858099989078e-05
restriction,11,1,0.11273743269192017,0.11701672888939554,0.0017159898664426642,35089,4106,6.342178463943603e-05
restriction,11,1,0.12079010645562877,0.13350462144215688,0.0019646950426692573,29969,4001,6.783961352632641e-05
restriction,11,1,0.12884278021933734,0.15514741420976316,0.002207551368702855,26897,4173,7.004279751553879e-05
restriction,11,1,0.13689545398304592,0.17515215110178384,0.0024625111528711425,23825,4173,7.384127839531941e-05
restriction,11,1,0.14494812774675453,0.19789909892545657,0.002765642035242647,20753,4107,7.759144455474502e-05
restriction,11,1,0.1530008015104631,0.21887195936915263,0.003023272688282973,18705,4094,8.544127468171086e-05
restriction,11,1,0.1610534752741717,0.23765624116283016,0.0032010807111880037,17681,4202,8.883027441856106e-05
restriction,13,1,0.096632085164503,0.07949798923707575,0.0011923416160691208,51473,4092,5.909303330458061e-05
restriction,13,1,0.10468475892821158,0.09553446766216248,0.001429969333594335,42257,4037,6.201048448847039e-05
restriction,13,1,0.11273743269192017,0.11619025905554448,0.0017107193045881595,35089,4077,6.819691708880864e-05
restriction,13,1,0.12079010645562877,0.13547332243318094,0.0019768784386948613,29969,4060,7.365025245580538e-05
restriction,13,1,0.12884278021933734,0.1554516291114289,0.002252612599297767,25873,4022,7.539551200333135e-05
restriction,13,1,0.13689545398304592,0.17355718782791185,0.0024536423051546123,23825,4135,8.202118922224325e-05
restriction,13,1,0.14494812774675453,0.19809184214330458,0.002766656030913092,20753,4111,8.434308707509982e-05
restriction,13,1,0.1530008015104631,0.23002092641818903,0.0031649709132342886,17681,4067,8.900193247470475e-05
restriction,13,1,0.1610534752741717,0.24536231013988113,0.0033340705015499463,16657,4087,9.62667122555156e-05
restriction,15,1,0.096632085164503,0.07373728114400953,0.0011190079687999383,54545,4022,6.488835898088235e-05
restriction,15,1,0.10468475892821158,0.09181807922356393,0.0013719053739479838,44305,4068,6.907231603967607e-05
restriction,15,1,0.11273743269192017,0.10789778388130436,0.0016099417490817998,37137,4007,7.401655021120303e-05
restriction,15,1,0.12079010645562877,0.12906140096150745,0.001904408664040754,30993,4000,8.021346481874967e-05
restriction,15,1,0.12884278021933734,0.15235899914488604,0.0021912307400564065,26897,4098,8.713951377708412e-05
restriction,15,1,0.13689545398304592,0.17604491031095126,0.00252224087714621,22801,4014,8.932526897233684e-05
restriction,15,1,0.14494812774675453,0.20431851589031375,0.0028705885764312837,19729,4031,9.744313989471709e-05
restriction,15,1,0.1530008015104631,0.22459235498529806,0.003051291277240649,18705,4201,9.630607232322981e-05
restriction,15,1,0.1610534752741717,0.2582997505277298,0.003500701188135414,15633,4038,0.00010266625617144595
restriction,17,1,0.096632085164503,0.06989256643004668,0.0010622010607179262,57617,4027,7.063451766130025e-05
restriction,17,1,0.10468475892821158,0.08683364615019525,0.0013079165816085904,46353,4025,7.470392863779982e-05
restriction,17,1,0.11273743269192017,0.10927107736219942,0.001618907298142514,37137,4058,8.131352943192283e-05
restriction,17,1,0.12079010645562877,0.12583939781990816,0.0018535897205131722,32017,4029,8.3565500193531e-05
restriction,17,1,0.12884278021933734,0.15009108822545264,0.002177768557896614,26897,4037,9.117102748787273e-05
restriction,17,1,0.13689545398304592,0.17617648348756634,0.002522981777375354,22801,4017,9.821975455491099e-05
restriction,17,1,0.14494812774675453,0.19968197369055077,0.0027749827437727847,20753,4144,0.00010708322487270689
restriction,17,1,0.1530008015104631,0.23267914710706408,0.0031777067753355976,17681,4114,0.00010737243136789784
restriction,17,1,0.1610534752741717,0.2578519797863494,0.003498721210095018,15633,4031,0.00011476494705595582
restriction,19,1,0.096632085164503,0.06824771641665968,0.0010323678531599953,59665,4072,7.614219459915545e-05
restriction,19,1,0.10468475892821158,0.08151745068285281,0.0012307997812429805,49425,4029,8.22531655204676e-05
restriction,19,1,0.11273743269192017,0.10049988808475714,0.0014994146982432103,40209,4041,9.056205802948404e-05
restriction,19,1,0.12079010645562877,0.12508701310493023,0.0018199604537764127,33041,4133,9.350640616919429e-05
restriction,19,1,0.12884278021933734,0.15131799085399858,0.0021850725415973092,26897,4070,0.00010428593494898314
restriction,19,1,0.13689545398304592,0.18060611376694005,0.0025476257870550934,22801,4118,0.00010573692490993685
restriction,19,1,0.14494812774675453,0.20999543818743982,0.002899794310259229,19729,4143,0.00011314105295620858
restriction,19,1,0.1530008015104631,0.24146004682715974,0.0033159920269226,16657,4022,0.00011680833884916483
restriction,19,1,0.1610534752741717,0.27038956054500096,0.003552379177155375,15633,4227,0.00012302131178101177
restriction,21,1,0.096632085164503,0.06313024915030477,0.000911406798348651,71202,4495,8.440133005351645e-05
restriction,21,1,0.10468475892821158,0.0820877149790736,0.0011511007427665392,56866,4668,8.910621408118546e-05
restriction,21,1,0.11273743269192017,0.09978417596546815,0.0014361180329785575,43554,4346,9.715870812208295e-05
restriction,21,1,0.12079010645562877,0.12293816773100087,0.0018064746956775947,33041,4062,0.00010420661194839713
restriction,21,1,0.12884278021933734,0.15243335687994944,0.0021916692458016735,26897,4100,0.00011185253161386315
restriction,21,1,0.13689545398304592,0.1769659225472567,0.0025274163092939097,22801,4035,0.00011519104599969689
restriction,21,1,0.14494812774675453,0.2075624714886715,0.0028873830165358967,19729,4095,0.0001261992856399999
restriction,21,1,0.1530008015104631,0.23890051467677167,0.0032068293129866206,17681,4224,0.00013027469927983274
restriction,21,1,0.1610534752741717,0.27307618499328346,0.00356340510711999,15633,4269,0.00014172675840797063
restriction,23,1,0.096632085164503,0.06153573328604362,0.0008262774180138803,84585,5205,8.993693130430947e-05
