decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
chromobius,5,1,0.13818181818181818,0.14559043348281017,0.006098196434127639,3345,487,4.398916595335632e-06
chromobius,5,1,0.06727272727272728,0.03187338976812661,0.0015071288527971991,13585,433,1.6671052596089284e-06
chromobius,5,1,0.05545454545454545,0.02352808099089418,0.0011399077869651496,17681,416,1.336314403939737e-06
chromobius,5,1,0.11454545454545455,0.10185397116044861,0.004575846399543171,4369,445,3.973353629845262e-06
chromobius,5,1,0.12636363636363634,0.12526158445440957,0.005723345836818418,3345,419,3.910326157551765e-06
chromobius,5,1,0.02,0.002502468315522134,0.00012450075331936228,161041,403,5.522038301254355e-07
chromobius,5,1,0.09090909090909091,0.07230793205547764,0.0032331724731976086,6417,464,2.5583542129245465e-06
chromobius,5,1,0.04363636363636364,0.012961864009744823,0.0006321357885425026,32017,415,1.1167752756529045e-06
chromobius,7,1,0.02,0.000602568448009641,3.0119343814295153e-05,663825,400,1.2743660528865165e-06
chromobius,7,1,0.04363636363636364,0.006044917929765236,0.00029983553756616897,66833,404,2.253456421043328e-06
chromobius,7,1,0.05545454545454545,0.01197710259797446,0.0005893932977689227,34065,408,3.229168473153598e-06
chromobius,5,1,0.10272727272727274,0.08232894492861116,0.0037428686070837412,5393,444,2.714282402046192e-06
chromobius,7,1,0.031818181818181815,0.0025321423823661602,0.00012644672389194866,157969,400,1.7818076144349594e-06
chromobius,5,1,0.07909090909090909,0.04914353219137625,0.0023495093915530604,8465,416,2.2185815678941326e-06
chromobius,5,1,0.031818181818181815,0.006739277299016296,0.00033211103311004574,60689,409,7.772867562301233e-07
chromobius,5,1,0.15,0.15964125560538117,0.006332961796531573,3345,534,4.462082805049359e-06
chromobius,7,1,0.07909090909090909,0.03463100071650346,0.0016314249017607108,12561,435,4.2336530497323e-06
chromobius,7,1,0.06727272727272728,0.02078159055197932,0.0010156092328988918,19729,410,3.57290232428912e-06
chromobius,7,1,0.13818181818181818,0.12047832585949178,0.005628331568981999,3345,403,7.659255013444778e-06
chromobius,7,1,0.12636363636363634,0.10299839780270084,0.00459854903257868,4369,450,6.972190200796269e-06
chromobius,7,1,0.10272727272727274,0.06669783387875955,0.0031145906973278348,6417,428,5.606514102595299e-06
chromobius,7,1,0.09090909090909091,0.047489663319551095,0.0023116437897974782,8465,402,5.9444771400761196e-06
chromobius,7,1,0.11454545454545455,0.08696458371963657,0.003837070803228774,5393,469,6.07149675369747e-06
chromobius,7,1,0.15,0.15097159940209268,0.006190285450121107,3345,505,7.726693869935925e-06
chromobius,9,1,0.02,0.00016126424719228866,8.062562179465112e-06,2480401,400,2.220754262849299e-06
chromobius,9,1,0.031818181818181815,0.000988257035772434,4.938842945402537e-05,404753,400,3.26186414449831e-06
chromobius,9,1,0.04363636363636364,0.0031417367645568436,0.00015625501960324137,128273,403,4.2924559803867095e-06
chromobius,9,1,0.05545454545454545,0.0076231759496272495,0.0003759621883741667,53521,408,5.790021579145407e-06
chromobius,9,1,0.06727272727272728,0.01584663548873343,0.0007763839175907439,25873,410,6.608428554173328e-06
chromobius,9,1,0.10272727272727274,0.0656069814555088,0.0030908206210565315,6417,421,1.0855910077633605e-05
chromobius,9,1,0.09090909090909091,0.04014077808427661,0.0019144028491206212,10513,422,9.342163700280764e-06
chromobius,9,1,0.07909090909090909,0.02545476376298253,0.0012203576951736795,16657,424,7.946891695590153e-06
chromobius,9,1,0.11454545454545455,0.08288522158353422,0.003754353715387677,5393,447,1.2764586685550027e-05
chromobius,9,1,0.12636363636363634,0.10345616845960173,0.004607580547831119,4369,452,1.324588944986258e-05
chromobius,9,1,0.13818181818181818,0.12137518684603886,0.005646360809659916,3345,406,1.534520419069492e-05
chromobius,11,1,0.02,5.013626409878749e-05,2.5067503630272553e-06,7978257,400,3.4362595583729923e-06
chromobius,9,1,0.15,0.15336322869955157,0.0062303310543706655,3345,513,1.6709878028479024e-05
