decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
chromobius,5,1,0.12636363636363634,0.23653597587246877,0.008820746079094947,2321,549,2.2380262792258107e-06
chromobius,5,1,0.09090909090909091,0.13721973094170403,0.005949224023510161,3345,459,1.5724586037172754e-06
chromobius,5,1,0.10272727272727274,0.17363205514864283,0.007862562556177646,2321,403,2.3632236097918048e-06
chromobius,5,1,0.11454545454545455,0.2003446790176648,0.008308119827342265,2321,465,2.318576471777757e-06
chromobius,5,1,0.15,0.2951314088754847,0.009467258264572004,2321,685,2.308415322671277e-06
chromobius,5,1,0.07909090909090909,0.10162508583199817,0.004571284473745122,4369,444,1.5453669004028028e-06
chromobius,5,1,0.13818181818181818,0.2563550193881947,0.009062878711519461,2321,595,2.54821973188328e-06
chromobius,5,1,0.02,0.006000029925336286,0.0002987269575958289,66833,401,3.841933016690433e-07
chromobius,5,1,0.06727272727272728,0.07546819951789356,0.003596894595149412,5393,407,1.3192950154022805e-06
chromobius,7,1,0.05545454545454545,0.039570056120993055,0.0019013096253894185,10513,416,2.4909910601387907e-06
chromobius,5,1,0.05545454545454545,0.051742468989958657,0.0024075385123516115,8465,438,1.0973321902001803e-06
chromobius,5,1,0.031818181818181815,0.015243335687994944,0.0007470549533244119,26897,410,6.524595686671474e-07
chromobius,7,1,0.04363636363636364,0.01836800293888047,0.0009099264671610839,21777,400,1.9969462743683325e-06
chromobius,5,1,0.04363636363636364,0.030106735369893264,0.001466101313889386,13585,409,8.56542137532365e-07
chromobius,7,1,0.031818181818181815,0.008569559068746438,0.0004234738375643252,47377,406,1.365611562129411e-06
chromobius,7,1,0.02,0.002097128506792075,0.0001047464189355929,190737,400,9.510879746828769e-07
chromobius,7,1,0.09090909090909091,0.1273542600896861,0.005764048997454023,3345,426,3.7829970080622643e-06
chromobius,7,1,0.10272727272727274,0.17189835575485798,0.006523484333209559,3345,575,6.128263669172009e-06
chromobius,7,1,0.06727272727272728,0.06249160059131837,0.0028059682693535462,7441,465,3.2098058074777335e-06
chromobius,7,1,0.07909090909090909,0.09430075532158388,0.004421387367651966,4369,412,4.431515911219501e-06
chromobius,7,1,0.13818181818181818,0.27789745799224475,0.009298312838527487,2321,645,7.217974144301728e-06
chromobius,7,1,0.15,0.3007324429125377,0.009518625943393028,2321,698,8.446556660043735e-06
chromobius,9,1,0.02,0.0007610567272658085,3.803835342362836e-05,525585,400,1.679256683239394e-06
chromobius,7,1,0.12636363636363634,0.24041361482119775,0.008870141438941903,2321,558,5.19467212049309e-06
chromobius,7,1,0.11454545454545455,0.2068074105988798,0.008406879108081673,2321,480,6.4355695691101735e-06
chromobius,9,1,0.031818181818181815,0.004498606774767516,0.00022386486754498444,89361,402,2.7378353541946532e-06
chromobius,9,1,0.04363636363636364,0.012680763344473248,0.0006253327586041689,32017,406,3.5729559939103917e-06
chromobius,9,1,0.05545454545454545,0.03047478836952521,0.0014747556928447689,13585,414,4.986805153118064e-06
chromobius,9,1,0.06727272727272728,0.05684719795726381,0.002684292938005989,7441,423,6.224371048087647e-06
chromobius,9,1,0.09090909090909091,0.12914798206278028,0.005798530322324907,3345,432,9.448205975095932e-06
chromobius,9,1,0.07909090909090909,0.08789171147784165,0.003855511045755853,5393,474,7.406877803733828e-06
chromobius,9,1,0.12636363636363634,0.2684187850064627,0.009198142968220056,2321,623,1.117729426830893e-05
chromobius,9,1,0.10272727272727274,0.16233183856502242,0.00637587504479836,3345,543,1.037582212687374e-05
chromobius,9,1,0.11454545454545455,0.2119775958638518,0.008483531826005059,2321,492,1.305985177933523e-05
chromobius,11,1,0.02,0.00028403583680152925,1.4199774787922827e-05,1408273,400,2.5436526759234195e-06
chromobius,11,1,0.031818181818181815,0.0025486635445538244,0.00012727068147830534,156945,400,3.8642250085434685e-06
chromobius,9,1,0.15,0.3323053199691596,0.01307939383206084,1297,431,1.807247492319236e-05
chromobius,9,1,0.13818181818181818,0.2938388625592417,0.00945516154718137,2321,682,1.4402413183655903e-05
chromobius,11,1,0.04363636363636364,0.009536881463426178,0.00047279515332520396,42257,403,5.400648626718744e-06
chromobius,11,1,0.06727272727272728,0.046158710085362,0.002154044483551467,9489,438,8.976253447808825e-06
chromobius,11,1,0.07909090909090909,0.080474689412201,0.003704215873510778,5393,434,1.0744831447618041e-05
chromobius,11,1,0.05545454545454545,0.024133997718676834,0.0011890807129349087,16657,402,7.078212940714976e-06
chromobius,11,1,0.09090909090909091,0.1273542600896861,0.005764048997454023,3345,426,1.2219432283398906e-05
chromobius,11,1,0.10272727272727274,0.17219730941704037,0.006527975809955026,3345,576,1.2969245439150297e-05
chromobius,11,1,0.11454545454545455,0.22490305902628177,0.008666387874309598,2321,522,1.6526443338967003e-05
chromobius,11,1,0.12636363636363634,0.2834984920292977,0.009355055335957378,2321,658,1.5987308478680667e-05
chromobius,11,1,0.15,0.37933693138010793,0.013473192890134312,1297,492,2.3413421723484684e-05
chromobius,11,1,0.13818181818181818,0.3099460292983809,0.012841465226368122,1297,402,1.5982587514542123e-05
chromobius,13,1,0.02,0.00011978751317781956,5.346058136853198e-06,4190754,502,3.6006687567149177e-06
chromobius,13,1,0.031818181818181815,0.0012491881830526803,6.226491698431349e-05,321809,402,5.302331913638872e-06
chromobius,13,1,0.04363636363636364,0.006336161603488026,0.0003142355423759723,63761,404,7.75263223625048e-06
chromobius,13,1,0.05545454545454545,0.01836800293888047,0.0009099264671610839,21777,400,1.0281061120843841e-05
chromobius,13,1,0.06727272727272728,0.04542101380545895,0.0021375885933078865,9489,431,1.2178952995711672e-05
chromobius,13,1,0.07909090909090909,0.07917671055071389,0.003676814034197241,5393,427,1.42584057101621e-05
chromobius,13,1,0.09090909090909091,0.11947814145113299,0.004907081573491331,4369,522,1.570958274228613e-05
chromobius,13,1,0.10272727272727274,0.18138733304610083,0.007998437171144828,2321,421,2.0525204219140324e-05
chromobius,13,1,0.11454545454545455,0.22102542007755277,0.008612816310999572,2321,513,1.9050481693748144e-05
chromobius,13,1,0.12636363636363634,0.2964239551917277,0.009479263610403918,2321,688,2.612026065689516e-05
chromobius,13,1,0.13818181818181818,0.33770239013107173,0.01313178226074975,1297,438,2.381759137417848e-05
chromobius,15,1,0.02,3.961681786422553e-05,1.7752368920479787e-06,12570419,498,4.761008291534978e-06
chromobius,13,1,0.15,0.39167309175019277,0.01355377880060263,1297,508,2.5577326130632485e-05
chromobius,15,1,0.031818181818181815,0.0006766804089179711,3.382257109928831e-05,591121,400,7.295194841699203e-06
chromobius,15,1,0.04363636363636364,0.004174911166592423,0.00020753256215391363,96529,403,9.797102373638842e-06
chromobius,15,1,0.05545454545454545,0.014164795301433754,0.000694577220424212,28945,410,1.3804625081844206e-05
chromobius,15,1,0.06727272727272728,0.0389993341577095,0.0018881091993347874,10513,410,1.7183808044587237e-05
chromobius,15,1,0.10272727272727274,0.17966393795777683,0.00796872406803106,2321,417,2.989684791110162e-05
chromobius,15,1,0.07909090909090909,0.07386629266012155,0.0032650811302465713,6417,474,2.0481689108942166e-05
