decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
chromobius,5,1,0.1433197463485316,0.15447891452983212,0.0011223123182667256,103697,16019,3.661310143535016e-06
chromobius,5,1,0.12645859971929257,0.12460459252728215,0.000918491057709605,129297,16111,3.585849787419214e-06
chromobius,5,1,0.1601808929777706,0.1930855474242042,0.0013683040213455409,83217,16068,4.295809461831391e-06
chromobius,5,1,0.10116687977543405,0.08056643325005404,0.0006102224714070108,198929,16027,2.7526349756421777e-06
chromobius,7,1,0.15175031966315108,0.15968198757763974,0.0011547736210981104,100625,16068,8.995467478912671e-06
chromobius,5,1,0.11802802640467307,0.10947138815991275,0.0008151767669279543,146705,16060,3.385255293891942e-06
chromobius,5,1,0.1686114662923901,0.2053343918460376,0.0014454593456638297,78097,16036,4.280677617886541e-06
chromobius,5,1,0.10959745309005356,0.09241384880775866,0.0006956276617073338,173329,16018,3.123407681393109e-06
chromobius,5,1,0.15175031966315108,0.16930003664729595,0.001213493815317936,95505,16169,3.6231667553327955e-06
chromobius,5,1,0.13488917303391207,0.1387334569125318,0.0010149823239602362,115985,16091,3.4249690988890743e-06
chromobius,7,1,0.10959745309005356,0.07807463683663866,0.0005924458007587002,205073,16011,6.689036947416715e-06
chromobius,7,1,0.13488917303391207,0.12451951708082941,0.0009182220636929828,129297,16100,8.00037735665513e-06
chromobius,7,1,0.11802802640467307,0.09336931603842025,0.0007009198434322031,172305,16088,7.184006099148844e-06
chromobius,7,1,0.10116687977543405,0.06379776470916135,0.0004876614021908297,251153,16023,6.467950819129531e-06
chromobius,7,1,0.12645859971929257,0.10778942273433141,0.0008040608009938657,148753,16034,7.763050996635136e-06
chromobius,7,1,0.1433197463485316,0.14054258054889984,0.0010296360840713783,113937,16013,8.686709910226542e-06
chromobius,7,1,0.1601808929777706,0.1886002462909752,0.0013396864516653454,85265,16081,9.55709598384833e-06
chromobius,7,1,0.1686114662923901,0.20638436815754765,0.0014481926239626032,78097,16118,1.0069449953416531e-05
chromobius,9,1,0.10116687977543405,0.05608300200371369,0.00043025215209886296,285969,16038,1.1547333647407057e-05
chromobius,9,1,0.10959745309005356,0.0698892657925791,0.0005320351036716325,229649,16050,1.354380667839099e-05
chromobius,9,1,0.11802802640467307,0.0876989235530965,0.0006620354634699002,182545,16009,1.4060468032013474e-05
chromobius,9,1,0.12645859971929257,0.10404684382575241,0.0007783517329388544,153873,16010,1.4876421360705189e-05
chromobius,9,1,0.13488917303391207,0.124295227267454,0.0009175122271789036,129297,16071,1.5510879022180554e-05
chromobius,9,1,0.1433197463485316,0.14408923129172663,0.0010498718984733055,111889,16122,1.6684823807232617e-05
chromobius,9,1,0.15175031966315108,0.16273572942978584,0.0011756686515000995,98577,16042,1.7516793552381328e-05
chromobius,9,1,0.1601808929777706,0.19013307059507842,0.0013519913304823818,84241,16017,1.8615338267667492e-05
chromobius,9,1,0.1686114662923901,0.21144262251969126,0.0014806968896302704,76049,16080,1.8743043944750498e-05
