decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
correlated,5,1,0.15,0.16352765321375187,0.006394746532365473,3345,547,2.0296313303629958e-05
correlated,5,1,0.12636363636363634,0.10963607232776379,0.0047268246351246344,4369,479,1.5974432132552188e-05
correlated,5,1,0.031818181818181815,0.0079882653769153,0.00039633129447314187,50449,403,1.05327566249729e-05
correlated,5,1,0.13818181818181818,0.13064275037369208,0.005826982803687183,3345,437,1.8156789241829172e-05
correlated,7,1,0.04363636363636364,0.006481616515158881,0.00032302883451954667,61713,400,1.2547865977064851e-05
correlated,5,1,0.04363636363636364,0.014576841803660328,0.0007172616619011706,27921,407,1.1460310663413486e-05
correlated,7,1,0.02,0.000678372109940266,3.386479425827082e-05,591121,401,1.1835597627436407e-05
correlated,5,1,0.06727272727272728,0.037531420646615236,0.001769474611683429,11537,433,1.1935876570899506e-05
correlated,5,1,0.09090909090909091,0.06233442418575658,0.0030180188117803976,6417,400,1.5091092410432493e-05
correlated,7,1,0.031818181818181815,0.002690666791296394,0.00013385122100857883,149777,403,1.204886346416433e-05
correlated,5,1,0.02,0.0028251580322774307,0.0001410582225351999,141585,400,1.0409499254987158e-05
correlated,5,1,0.05545454545454545,0.023641196764888864,0.0011425784797057866,17681,418,1.1988205420424892e-05
correlated,5,1,0.07909090909090909,0.04725339633786178,0.002306172228007519,8465,400,1.2810794450328903e-05
correlated,5,1,0.11454545454545455,0.10162508583199817,0.004571284473745122,4369,444,1.6581997711863304e-05
correlated,7,1,0.05545454545454545,0.01303520149711225,0.0006442848182920823,30993,404,1.3367354468599749e-05
correlated,5,1,0.10272727272727274,0.07602447617281662,0.0036090403824295615,5393,410,1.391317467286823e-05
correlated,7,1,0.06727272727272728,0.02375431253888355,0.0011452423125493086,17681,420,1.5024055932674764e-05
correlated,7,1,0.09090909090909091,0.05020673360897814,0.002373460703877855,8465,425,1.7103081513309e-05
correlated,7,1,0.07909090909090909,0.03303877079850331,0.001594793156361565,12561,415,1.504695080021252e-05
correlated,7,1,0.10272727272727274,0.06778868630201028,0.003138121641231525,6417,435,2.0292367927601785e-05
correlated,7,1,0.11454545454545455,0.09498741130693522,0.004435773007026565,4369,415,2.412482879479397e-05
correlated,7,1,0.12636363636363634,0.1027695124742504,0.004594022701543488,4369,449,2.2318484545942217e-05
correlated,7,1,0.13818181818181818,0.12615844544095664,0.005740853310866273,3345,422,2.5306290277643256e-05
correlated,7,1,0.15,0.16233183856502242,0.00637587504479836,3345,543,2.3276009270608124e-05
correlated,9,1,0.02,0.00042866160060098355,2.1428485768454777e-05,933137,400,1.3847919875805606e-05
correlated,9,1,0.031818181818181815,0.0018846499969374438,9.414366032900856e-05,212241,400,1.624056652616269e-05
correlated,9,1,0.04363636363636364,0.005134640255067416,0.00025575256009033114,78097,401,1.8983224464590684e-05
correlated,9,1,0.05545454545454545,0.011297870572923878,0.0005561593571189227,36113,408,2.1829499237982372e-05
correlated,9,1,0.06727272727272728,0.01937069339372621,0.0009567193869215988,20753,402,2.5531041777783564e-05
correlated,9,1,0.07909090909090909,0.03264071331900326,0.0015854830935207013,12561,410,2.9880005570352697e-05
correlated,9,1,0.09090909090909091,0.05126993502658003,0.0023971170119877934,8465,434,3.464307454110734e-05
correlated,9,1,0.10272727272727274,0.06311360448807854,0.003035560819151819,6417,405,3.864292083542491e-05
correlated,9,1,0.11454545454545455,0.08993139254589283,0.0038956283337972897,5393,485,4.0154474871255554e-05
correlated,9,1,0.12636363636363634,0.10940718699931334,0.004722494889782967,4369,478,4.494862463254917e-05
correlated,9,1,0.13818181818181818,0.13602391629297458,0.005927348146567046,3345,455,4.8865408372824455e-05
correlated,9,1,0.15,0.17219730941704037,0.006527975809955026,3345,576,5.314034619159796e-05
