decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
correlated,7,1,0.04363636363636364,0.0206295301333063,0.0010119653311279,19729,407,1.189149222143992e-05
correlated,5,1,0.10272727272727274,0.16023916292974588,0.006342552653971951,3345,536,1.47673644293211e-05
correlated,5,1,0.06727272727272728,0.0747264973113295,0.003580611197224657,5393,403,1.3168938252679423e-05
correlated,5,1,0.04363636363636364,0.0329591593026033,0.0015929361304012441,12561,414,9.95108517893409e-06
correlated,5,1,0.05545454545454545,0.051506202008269344,0.0024023347858420376,8465,436,1.1838590196095632e-05
correlated,5,1,0.13818181818181818,0.23825937096079275,0.008842824082086554,2321,553,1.6240610946021984e-05
correlated,5,1,0.15,0.28263679448513573,0.009346442272264529,2321,656,1.718802973200703e-05
correlated,5,1,0.12636363636363634,0.23352003446790176,0.00878162538529104,2321,542,1.6622810422606167e-05
correlated,7,1,0.031818181818181815,0.00925403453334838,0.00045490461598267205,44305,410,1.0122688365619869e-05
correlated,5,1,0.11454545454545455,0.1891426109435588,0.008128854666292241,2321,439,1.47025527738822e-05
correlated,7,1,0.05545454545454545,0.03928469513935128,0.0018947229522646414,10513,413,1.159426424276106e-05
correlated,5,1,0.07909090909090909,0.10437170977340353,0.004625559568442837,4369,456,1.3009203474613323e-05
correlated,7,1,0.02,0.0023077500014423435,0.00011525428041657886,173329,400,1.0767983349499002e-05
correlated,5,1,0.02,0.0062668827660723935,0.0003100440743357255,64785,406,9.098788269620024e-06
correlated,5,1,0.09090909090909091,0.13632286995515694,0.00593283143312326,3345,456,1.2230107316090232e-05
correlated,5,1,0.031818181818181815,0.017040923399790138,0.0008384898815161319,23825,406,9.578004492112559e-06
correlated,7,1,0.09090909090909091,0.12376681614349776,0.005693953244200799,3345,414,1.5183395815919945e-05
correlated,7,1,0.11454545454545455,0.1943127962085308,0.008212896759034511,2321,451,1.541680999650736e-05
correlated,7,1,0.12636363636363634,0.25247738043946577,0.009017493478130746,2321,586,1.669565919741149e-05
correlated,7,1,0.06727272727272728,0.06841203054386785,0.0031514625930038425,6417,439,1.2129486988257087e-05
correlated,7,1,0.07909090909090909,0.09407186999313344,0.0044165763119552726,4369,411,1.2716143975968237e-05
correlated,7,1,0.10272727272727274,0.16532137518684603,0.006422825004956759,3345,553,1.7258333031301107e-05
correlated,7,1,0.15,0.3107170393215112,0.0128502423497688,1297,403,2.710880880104414e-05
correlated,7,1,0.13818181818181818,0.27401981904351574,0.00925797065241514,2321,636,1.7260286072700434e-05
correlated,9,1,0.02,0.001573409381453437,7.86085542817151e-05,254225,400,1.2224377499461852e-05
correlated,9,1,0.031818181818181815,0.007063887394345419,0.00034890501829346683,57617,407,1.3230659614617301e-05
correlated,9,1,0.04363636363636364,0.017292759706190975,0.0008445546873058982,23825,412,1.5099263590113587e-05
correlated,9,1,0.05545454545454545,0.03909445448492343,0.0018903168100334988,10513,411,1.817294445238663e-05
correlated,9,1,0.06727272727272728,0.06529530933458003,0.0030839844760183026,6417,419,2.100988904457105e-05
correlated,9,1,0.09090909090909091,0.14050822122571002,0.006008605214185676,3345,470,2.6922807773827157e-05
correlated,9,1,0.11454545454545455,0.23007324429125378,0.008736152249082635,2321,534,3.003299569267497e-05
correlated,9,1,0.07909090909090909,0.09030224364917486,0.0039028568473309876,5393,487,2.4917671054368708e-05
correlated,9,1,0.10272727272727274,0.17707884532529083,0.007923642703030446,2321,411,2.7509046962895206e-05
correlated,9,1,0.12636363636363634,0.25032313657906075,0.008991869175888593,2321,581,2.99307233904248e-05
correlated,9,1,0.13818181818181818,0.3050409306333477,0.009556989345823184,2321,708,4.027199138880606e-05
correlated,9,1,0.15,0.3454124903623747,0.01320331206152512,1297,448,3.469589977031868e-05
correlated,11,1,0.031818181818181815,0.003792141472410043,0.0001890111073188506,105745,401,1.5883182373323342e-05
correlated,11,1,0.02,0.0006507525139383054,3.252703700312022e-05,614673,400,1.427872205541516e-05
correlated,11,1,0.04363636363636364,0.012094525172464406,0.0005922402379413877,34065,412,1.8983631792064616e-05
correlated,11,1,0.05545454545454545,0.03272032481490327,0.0015873501102450789,12561,411,2.1352622322725936e-05
correlated,11,1,0.06727272727272728,0.054696949334766834,0.0026360365628500435,7441,407,2.5005034002812873e-05
correlated,11,1,0.07909090909090909,0.08789171147784165,0.003855511045755853,5393,474,2.842562117032056e-05
correlated,11,1,0.09090909090909091,0.13452914798206278,0.005899787341947522,3345,450,3.241117339252713e-05
correlated,11,1,0.10272727272727274,0.1943127962085308,0.008212896759034511,2321,451,4.571800905439115e-05
correlated,11,1,0.11454545454545455,0.2193020249892288,0.008588657360387431,2321,509,4.043573158286963e-05
correlated,11,1,0.12636363636363634,0.27875915553640673,0.009307159496747888,2321,647,4.232762387478407e-05
correlated,11,1,0.13818181818181818,0.31765612952968386,0.012927372980153649,1297,412,4.298541403257804e-05
correlated,11,1,0.15,0.3554356206630686,0.013290570921730258,1297,461,5.263409096614437e-05
correlated,13,1,0.02,0.00040357851793550414,1.9192398513959376e-05,1095202,442,1.7957152284073363e-05
correlated,13,1,0.031818181818181815,0.002752589562125466,0.0001372684503902692,145681,401,2.340920741924242e-05
correlated,13,1,0.04363636363636364,0.009725220090704048,0.0004832869982984319,41233,401,3.011791218192609e-05
