decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
correlated,5,1,0.10920603281520345,0.18045903694005214,0.0012864728952568915,89361,16126,1.246522805215334e-05
correlated,5,1,0.06897223125170746,0.08079264461189671,0.0006110033731254808,198929,16072,1.1499890665096429e-05
correlated,5,1,0.08621528906463431,0.12196886063420762,0.0009029686455314514,131345,16020,1.1944324101486505e-05
correlated,5,1,0.08046760312699203,0.1083131951072572,0.0008085632058020186,147729,16001,1.1245381441855308e-05
correlated,7,1,0.09771066093991888,0.14965721336264878,0.0010865521204191145,107793,16132,1.4702671620921652e-05
correlated,7,1,0.08621528906463431,0.11503758859657295,0.0008541568069883582,139537,16052,1.4079106846167417e-05
correlated,5,1,0.07471991718934974,0.0945276846179599,0.0007090299981598172,170257,16094,1.1395221131251851e-05
correlated,7,1,0.10345834687756117,0.16674781671829192,0.0011997462598590666,96529,16096,1.509902768007742e-05
correlated,7,1,0.06897223125170746,0.06781185472326734,0.000516652055677544,236817,16059,1.3200137346767705e-05
correlated,5,1,0.09771066093991888,0.1478904950513247,0.001076141703697621,108817,16093,1.2019672955373751e-05
correlated,5,1,0.10345834687756117,0.16441319077834612,0.001186707813511895,97553,16039,1.2441160168831596e-05
correlated,7,1,0.0919629750022766,0.13122190470731768,0.0009661581002129975,122129,16026,1.4255864037852305e-05
correlated,5,1,0.11495371875284574,0.19567359750830363,0.0013837730278010551,82193,16083,1.2856166304011784e-05
correlated,7,1,0.07471991718934974,0.08218320305081787,0.0006222118438518534,194833,16012,1.3236052594460528e-05
correlated,7,1,0.08046760312699203,0.09762785397866104,0.0007326696804924695,164113,16022,1.388581468227803e-05
correlated,5,1,0.0919629750022766,0.1362754483915515,0.000998607260706493,118033,16085,1.2244261817428911e-05
correlated,7,1,0.10920603281520345,0.18725445885338804,0.0013280537842505367,86289,16158,1.578235345174481e-05
correlated,7,1,0.11495371875284574,0.20131012539771664,0.001416392708634494,80145,16134,1.5327737226134487e-05
correlated,9,1,0.06897223125170746,0.06786674943099524,0.0005168459134590027,236817,16072,2.1642181545779353e-05
correlated,9,1,0.07471991718934974,0.08327930077547527,0.0006292894255405833,192785,16055,2.269504050047691e-05
correlated,9,1,0.08046760312699203,0.09973236629181388,0.0007466819461202685,161041,16061,2.3534593668180904e-05
correlated,9,1,0.08621528906463431,0.1200287871177648,0.0008898369207303742,133393,16011,2.4429317550620245e-05
correlated,9,1,0.0919629750022766,0.1393864006054227,0.0010215015677459323,114961,16024,2.5757095953157235e-05
correlated,9,1,0.09771066093991888,0.15747326584619623,0.0011424671124416006,101649,16007,2.7471083966070586e-05
correlated,9,1,0.10345834687756117,0.17876860098467667,0.0012744717475013114,90385,16158,2.7341529303045388e-05
correlated,9,1,0.10920603281520345,0.20026202507954333,0.0014136273675906229,80145,16050,2.8079291210475323e-05
correlated,9,1,0.11495371875284574,0.2211107609246749,0.0015362071723465807,72977,16136,2.9113306753582514e-05
correlated,11,1,0.06897223125170746,0.06015091196301869,0.00046056504243712805,266513,16031,2.7999794746289565e-05
correlated,11,1,0.07471991718934974,0.07611129785954729,0.0005769922196860192,211217,16076,2.9579030457334906e-05
correlated,11,1,0.08046760312699203,0.09597750994407393,0.0007204033137540802,167185,16046,2.9825621072836884e-05
correlated,11,1,0.08621528906463431,0.11564257506515634,0.0008592657914836852,138513,16018,3.26559011209481e-05
correlated,11,1,0.0919629750022766,0.13830236668534723,0.001013657744154177,115985,16041,3.391810435851809e-05
correlated,11,1,0.09771066093991888,0.1595726708074534,0.0011544533638610018,100625,16057,3.458519999996429e-05
correlated,11,1,0.10345834687756117,0.18415356247065157,0.0013117613115507405,87313,16079,3.625232830259063e-05
correlated,11,1,0.10920603281520345,0.20574413869930983,0.0014465277664029556,78097,16068,3.713397280369803e-05
correlated,11,1,0.11495371875284574,0.22969744653458266,0.0015909430449913922,69905,16057,3.8381707960859035e-05
correlated,13,1,0.06897223125170746,0.05569810115375134,0.00042733313121717554,288017,16042,4.874468577867314e-05
correlated,13,1,0.07471991718934974,0.07300976714719998,0.0005553935627345797,219409,16019,5.297320191487318e-05
correlated,13,1,0.08046760312699203,0.09218080560701565,0.00069279575493387,174353,16072,5.638533032957474e-05
correlated,13,1,0.08621528906463431,0.11301530758928259,0.000838403786070015,142609,16117,5.7157281995176107e-05
correlated,13,1,0.0919629750022766,0.1379574945035996,0.0010125956934960653,115985,16001,5.9768082131674835e-05
correlated,13,1,0.09771066093991888,0.163719731783276,0.0011785245630681505,98577,16139,6.285932649644514e-05
correlated,13,1,0.10345834687756117,0.18865888699935496,0.0013398462884411403,85265,16086,6.631765522797383e-05
correlated,13,1,0.10920603281520345,0.21245512761509028,0.0014832846722003658,76049,16157,6.707390858697257e-05
correlated,13,1,0.11495371875284574,0.24370526827637556,0.0016735371235298414,65809,16038,6.981353539721332e-05
correlated,15,1,0.06897223125170746,0.05181554724881349,0.00039841107254193344,309521,16038,6.270989902095298e-05
correlated,15,1,0.07471991718934974,0.06942294936988724,0.0005292115538766349,230673,16014,6.654143912501018e-05
