decoder,distance,rounds,p_physical,p_logical,p_logical_err,shots,errors,avg_time_sec
correlated,5,1,0.15555747376104379,0.16341540115848524,0.0011776429221164978,98577,16109,1.617457417089042e-05
correlated,7,1,0.09824682553329081,0.0613597150650553,0.00046940129701623955,261393,16039,1.7793446217014616e-05
correlated,7,1,0.10643406099439838,0.07266153434376886,0.0005528828438018967,220433,16017,1.801707320588461e-05
correlated,7,1,0.14737023829993623,0.1513168471322521,0.0011020124769803505,105745,16001,2.1092029581263187e-05
correlated,7,1,0.1309957673777211,0.11737808229216283,0.0008713050256965301,136465,16018,1.9974175927834945e-05
correlated,5,1,0.09824682553329081,0.07242489512636764,0.0005507744346580692,221457,16039,1.3547567947269192e-05
correlated,5,1,0.13918300283882867,0.13806957796266758,0.001012941093143569,115985,16014,1.6136659603450424e-05
correlated,5,1,0.14737023829993623,0.14999672189493204,0.0010927695796166838,106769,16015,1.562759399311618e-05
correlated,5,1,0.12280853191661352,0.11178489622858256,0.0008314258540331089,143633,16056,1.4573767532678865e-05
correlated,5,1,0.1309957673777211,0.12326486138074447,0.0009106398481120804,130321,16064,1.5311046730897048e-05
correlated,5,1,0.10643406099439838,0.0848963108607285,0.0006416619266025335,188689,16019,1.3957499478078725e-05
correlated,5,1,0.11462129645550595,0.09834507538828492,0.0007373677742973808,163089,16039,1.4063317685606673e-05
correlated,7,1,0.13918300283882867,0.13273605548903844,0.0009749650834446577,121105,16075,1.9928635572251942e-05
correlated,5,1,0.16374470922215137,0.17791668971621397,0.0012720907049830399,90385,16081,1.6559625512058344e-05
correlated,7,1,0.12280853191661352,0.10092897171573591,0.0007554677400913749,158993,16047,1.988499757861963e-05
correlated,7,1,0.11462129645550595,0.08725329440156018,0.0006586677241097577,183569,16017,1.880938004164669e-05
correlated,7,1,0.15555747376104379,0.16764910027038507,0.0012023334690481643,96529,16183,2.140603262237694e-05
correlated,7,1,0.16374470922215137,0.18427954600116822,0.001312108617255497,87313,16090,2.3130773859603538e-05
correlated,9,1,0.09824682553329081,0.05897295247631915,0.0004519976987719313,271633,16019,3.706012214275699e-05
correlated,9,1,0.10643406099439838,0.07200165407383102,0.0005480224801777987,222481,16019,3.9870270935612164e-05
correlated,9,1,0.11462129645550595,0.08899316886153233,0.0006701995909765232,180497,16063,4.1610438372525695e-05
correlated,9,1,0.12280853191661352,0.10439778258693858,0.0007795105667326589,153873,16064,4.4104369050947784e-05
correlated,9,1,0.1309957673777211,0.12138038362456466,0.0008975973392510406,132369,16067,4.580633966447416e-05
correlated,9,1,0.13918300283882867,0.13944729082036517,0.001021688516954535,114961,16031,4.645502748722596e-05
correlated,9,1,0.14737023829993623,0.16060621118012422,0.0011574736082922425,100625,16161,4.852600500872648e-05
correlated,9,1,0.15555747376104379,0.18026879735007442,0.001285943844488531,89361,16109,5.227793252078441e-05
correlated,9,1,0.16374470922215137,0.20178426601784266,0.0014176387478861394,80145,16172,5.421194503798716e-05
correlated,11,1,0.09824682553329081,0.052507162151100926,0.00040359423116067097,305425,16037,7.158974120693748e-05
correlated,11,1,0.10643406099439838,0.065548263793885,0.0005001365374804547,244873,16051,7.744485884597936e-05
correlated,11,1,0.11462129645550595,0.08256582511648065,0.0006251736273203526,193809,16002,8.354913513341087e-05
correlated,11,1,0.12280853191661352,0.10213131988913314,0.0007643849741555309,156945,16029,8.956531082243441e-05
correlated,11,1,0.1309957673777211,0.12103333758143231,0.0008930426212238129,133393,16145,9.244788270722443e-05
correlated,11,1,0.13918300283882867,0.14162212450740322,0.0010329336365928496,113937,16136,9.714015961456468e-05
correlated,11,1,0.14737023829993623,0.16264443024234862,0.001175402894581698,98577,16033,0.00010188857393629967
correlated,11,1,0.15555747376104379,0.18619986325024046,0.0013251676950198107,86289,16067,0.00010896067666721141
correlated,11,1,0.16374470922215137,0.2076392178956938,0.0014514397158146464,78097,16216,0.00011153259459344767
correlated,13,1,0.09824682553329081,0.045603903216170465,0.00035188404964907923,351505,16030,0.00015338693533561412
correlated,13,1,0.10643406099439838,0.060665872610742445,0.00046419255719750823,264465,16044,0.00016170995135438186
correlated,13,1,0.11462129645550595,0.07759232525914804,0.0005878395067145521,207121,16071,0.0001717008111779517
correlated,13,1,0.12280853191661352,0.09728425888327949,0.0007295473881940232,165001,16052,0.00018026447592944675
correlated,13,1,0.1309957673777211,0.1179130179899608,0.0008730235202400429,136465,16091,0.00018949235793773073
correlated,13,1,0.13918300283882867,0.14204741703789645,0.0010389062054548493,112913,16039,0.00019751438904344414
correlated,13,1,0.14737023829993623,0.1643014597576213,0.0011810207400855697,98441,16174,0.00020619582366052322
correlated,13,1,0.15555747376104379,0.18866661184790143,0.0013409371828318384,85129,16061,0.00020761885781594674
correlated,13,1,0.16374470922215137,0.215674775074975,0.0015015671763048545,75025,16181,0.0002140197728494659
correlated,15,1,0.09824682553329081,0.04276901000477434,0.0003304479717437575,374921,16035,0.00019909059563480363
correlated,15,1,0.10643406099439838,0.058179997314881,0.0004458992195215794,275593,16034,0.0002142691353950882
correlated,15,1,0.11462129645550595,0.07579264986681125,0.0005746756575853264,212105,16076,0.00022649523899440037
correlated,15,1,0.12280853191661352,0.09521753786288344,0.0007137770979732214,169097,16101,0.00024331552495867375
correlated,15,1,0.1309957673777211,0.11786193693198073,0.0008732949389845607,136329,16068,0.0002568379257889563
correlated,15,1,0.13918300283882867,0.14228965125867862,0.0010402715318059942,112777,16047,0.00026454424955344244
correlated,15,1,0.14737023829993623,0.1708940590386348,0.0012254879682111822,94345,16123,0.0002713761010972002
correlated,15,1,0.15555747376104379,0.1972165689703499,0.0013890346582483965,82057,16183,0.00027616677282926087
correlated,15,1,0.16374470922215137,0.22285809766489828,0.0015529259342324784,71817,16005,0.0002890500618663402
correlated,17,1,0.09824682553329081,0.036166744451884766,0.0002803461856622032,443529,16041,0.00031509130454125206
correlated,17,1,0.10643406099439838,0.05237126729848227,0.00040251580459167306,306313,16042,0.00033282644587412727
correlated,17,1,0.11462129645550595,0.06956367090748991,0.0005298638086308232,230537,16037,0.0003480137338643223
correlated,17,1,0.12280853191661352,0.09021215503076052,0.0006784394454777055,178313,16086,0.00035953728418023126
correlated,17,1,0.1309957673777211,0.11353208576942926,0.0008435112477241167,141449,16059,0.0003745313794095143
correlated,17,1,0.13918300283882867,0.1393947311125626,0.001022131923514282,114825,16006,0.00038412057296741483
correlated,17,1,0.14737023829993623,0.17087286024696594,0.0012254276228948406,94345,16121,0.0003821705115899548
correlated,17,1,0.15555747376104379,0.19940024434489653,0.0014035878846935523,81033,16158,0.0003950268599091506
correlated,17,1,0.16374470922215137,0.22899156696283532,0.0015792255078784958,70793,16211,0.00040627537736700336
correlated,19,1,0.09824682553329081,0.034155097839804936,0.0002595530678361845,489678,16725,0.00039389922938136163
correlated,19,1,0.10643406099439838,0.049564285295053453,0.00038146997525438284,323721,16045,0.0004123541453718359
correlated,19,1,0.11462129645550595,0.06813985372831499,0.0005191567000563229,235589,16053,0.00042967551099532637
correlated,19,1,0.12280853191661352,0.0897298570491215,0.0006768027794171583,178313,16000,0.0004508119659871773
correlated,19,1,0.1309957673777211,0.11445967598362115,0.0008495876894096383,140425,16073,0.0004571132872994014
correlated,19,1,0.13918300283882867,0.14254679588923275,0.0010410550012713278,112777,16076,0.0004611560409929889
correlated,19,1,0.14737023829993623,0.1726942488828881,0.0012373206673335975,93321,16116,0.0004706964991907577
correlated,19,1,0.15555747376104379,0.20551301291671475,0.0014471860138868696,77961,16022,0.0004754392190581123
correlated,19,1,0.16374470922215137,0.2367374691440143,0.0016342817911533887,67653,16016,0.00048148490946293873
correlated,21,1,0.09824682553329081,0.029433541162107963,0.00020840228589580166,657753,19360,0.0005237562948658018
correlated,21,1,0.10643406099439838,0.043946295443301434,0.00031999372798957305,410319,18032,0.0005418402515337359
correlated,21,1,0.11462129645550595,0.061923322469003055,0.0004417967680650411,297610,18429,0.0005567914317398487
correlated,21,1,0.12280853191661352,0.0855282407579812,0.0006450482216241417,187973,16077,0.0005685933400657405
correlated,21,1,0.1309957673777211,0.11076665039834475,0.0008228396563338309,145477,16114,0.0005694187529232394
correlated,21,1,0.13918300283882867,0.14032999255984946,0.0010275963137210344,114245,16032,0.000576331460860434
correlated,21,1,0.14737023829993623,0.17137796069030622,0.0012273059743198548,94277,16157,0.0005835522365799349
correlated,21,1,0.15555747376104379,0.20856541011359378,0.0014605333784435026,77381,16139,0.0005914910987184688
correlated,21,1,0.16374470922215137,0.2383187853003741,0.001631868056094742,68165,16245,0.00059167740224332
correlated,23,1,0.09824682553329081,0.027076153936287515,0.00019893024117173197,665678,18024,0.0006390040219416435
correlated,23,1,0.10643406099439838,0.04218262293404288,0.00029349919168815495,469032,19785,0.0006559505291896304
correlated,23,1,0.11462129645550595,0.061930984324064575,0.00043431466036258616,307988,19074,0.0006756717195829811
correlated,23,1,0.12280853191661352,0.0848715400531109,0.0005624385719817876,245524,20838,0.0006863655623685334
correlated,23,1,0.1309957673777211,0.11232152229205077,0.0008190749222322322,148618,16693,0.0006931477506360958
correlated,23,1,0.13918300283882867,0.14425410421127766,0.0009894553001617394,126090,18189,0.0007076772448015166
correlated,23,1,0.14737023829993623,0.1771581048151456,0.0012678031507163954,90693,16067,0.0007151952299851621
correlated,23,1,0.15555747376104379,0.21399072452920972,0.0014993380270133397,74821,16011,0.0007190879777068766
correlated,23,1,0.16374470922215137,0.24545385260269798,0.001680193729712441,65605,16103,0.0007355085765571105
