decoder,target_p_logical,fixed_p_physical,required_distance,required_qubits,estimated_time_sec_per_shot
bposd,1e-06,0.001,5,17.0,2.363132715854255e-05
projection,1e-06,0.001,7,31.0,7.3868147278962344e-06
restriction,1e-06,0.001,9,49.0,1.3832205547150094e-05
chromobius,1e-06,0.001,7,31.0,3.9541771043733155e-06
concat_mwpm,1e-06,0.001,5,17.0,0.00010247952417370742
correlated,1e-06,0.001,7,31.0,1.594385914026096e-05
bposd,1e-06,0.0001,3,7.0,1.9364738339549415e-05
projection,1e-06,0.0001,3,7.0,5.6128451331092715e-06
restriction,1e-06,0.0001,5,17.0,1.1039807866946497e-05
chromobius,1e-06,0.0001,5,17.0,1.8590199674773016e-06
concat_mwpm,1e-06,0.0001,3,7.0,8.160588828845035e-05
correlated,1e-06,0.0001,5,17.0,1.2681710293733149e-05
bposd,1e-12,0.001,15,127.0,0.00014340945574588422
projection,1e-12,0.001,21,241.0,6.040585119437976e-05
restriction,1e-12,0.001,21,241.0,4.082404742387369e-05
chromobius,1e-12,0.001,15,127.0,2.326145254514269e-05
concat_mwpm,1e-12,0.001,23,287.0,0.0009672288902949697
correlated,1e-12,0.001,21,241.0,0.00024544182932527956
bposd,1e-12,0.0001,9,49.0,4.700726537809528e-05
projection,1e-12,0.0001,13,97.0,1.7921137792536204e-05
restriction,1e-12,0.0001,13,97.0,1.9295760522164983e-05
chromobius,1e-12,0.0001,11,71.0,1.1201509939150578e-05
concat_mwpm,1e-12,0.0001,11,71.0,0.00024353647975597112
correlated,1e-12,0.0001,13,97.0,5.2868571798458364e-05
